arm,mode,region,lead_days,velocity_second_moment_ratio,velocity_normalized_rmse,ssh_physical_rmse,sst_physical_rmse,fixed_oracle_ts_rmse,fixed_oracle_rmse_gap_closed_pct
E,inferred,tropics,10,0.8927671510568613,0.5105934166576032,0.01380018386922844,0.29038242565708217,0.02561090487847409,9.635304240082144
E,inferred,tropics,15,0.8915069328499463,0.5161629208540828,0.016038527321871648,0.33303718637350693,0.031249325973887715,13.009788318885855
E,inferred,tropics,20,0.8938930078775303,0.5241717739345031,0.01788467565243519,0.36591980347911474,0.03534441770244866,15.348220604832
E,inferred,tropics,25,0.8958391908062704,0.5318114923130696,0.01910884843579044,0.39186947834259545,0.038964144024329454,17.68541815034433
E,inferred,tropics,30,0.9009936551799383,0.5397227103462047,0.02048288400508791,0.4163924620849871,0.042145340090050255,19.46456471493581
E,inferred,extratropics,5,0.925342590223013,0.4382411565763714,0.025325888494094433,0.3026671053022847,0.019060527263926187,5.015229282567097
E,inferred,extratropics,10,0.9211539743009468,0.458437934527336,0.027825483771003436,0.3666367965567756,0.024807759578743357,6.4643955028052655
E,inferred,extratropics,15,0.9230119148128769,0.4795377029676612,0.03089390659718477,0.42627080541798085,0.03045964382093733,8.419310321391285
E,inferred,extratropics,20,0.921589587425592,0.4995317098691772,0.032856227476697,0.4688236015026743,0.03478859726988819,9.745684244020609
E,inferred,extratropics,25,0.9224519255455694,0.5168308610069569,0.034521288800904694,0.5075058879143927,0.03884760346712425,11.091387670067704
E,inferred,extratropics,30,0.9210495846747709,0.5327695742455502,0.0365126756295815,0.5434237392962312,0.042377570737944945,12.11620948442455
F,inferred,global,5,0.9100336742389976,0.4629893156861534,0.02129422461571514,0.2845553466441721,0.019210320833072884,4.999659573710659
F,inferred,global,10,0.901140329828684,0.47665767268905873,0.023627883572293853,0.34471676577023713,0.025075919856276524,6.8184072532632385
F,inferred,global,15,0.9004362796381778,0.4914374749248397,0.026297700092419253,0.4000893048515949,0.03071652603243807,9.184225909522686
F,inferred,global,20,0.9001257782357528,0.5065905454930512,0.028079989275964813,0.4409513298845009,0.03495350292338484,10.897203044352025
F,inferred,global,25,0.900230033621965,0.5201508621082663,0.029475749021839314,0.47646436598404424,0.03884485170881658,12.61504913304535
F,inferred,global,30,0.9013288033233339,0.5329299518029567,0.03115412874520226,0.5095588660140787,0.04224222808205065,14.035156213985571
F,inferred,tropics,5,0.8978087353179351,0.5048573086932897,0.011409491805203452,0.24040041210040275,0.01952611093692313,6.9902414285205925
F,inferred,tropics,10,0.8854830323676245,0.508925566848259,0.01354680709766233,0.29087546241168266,0.02561090487847409,9.839668055581383
F,inferred,tropics,15,0.8829882790848389,0.5141653524849409,0.015554412414791595,0.33377115100894017,0.031249325973887715,13.333467231752731
F,inferred,tropics,20,0.8840987841224184,0.5217473382307317,0.017156183921190372,0.3665964606284368,0.03534441770244866,15.919999847735113
F,inferred,tropics,25,0.8837596647242216,0.5290275774333606,0.018139561036429365,0.39257487475865493,0.038964144024329454,18.482879603021512
F,inferred,tropics,30,0.887351971960869,0.5366039223764062,0.019353263308716093,0.4178275443567466,0.042145340090050255,20.6024573613224
F,inferred,extratropics,5,0.923974093896405,0.43714007383810344,0.02529771556940298,0.30715894992454934,0.019060527263926187,3.981977719758734
F,inferred,extratropics,10,0.9190256385700001,0.45768908272784353,0.0278301957297675,0.37225767316331787,0.024807759578743357,5.345555952069507
F,inferred,extratropics,15,0.9204374049054124,0.47898503118072533,0.03083848528905764,0.43376700397125534,0.03045964382093733,7.234247609577204
F,inferred,extratropics,20,0.9184228585001954,0.49917064195914607,0.032766122163888946,0.47862830548663676,0.03478859726988819,8.594974406589992
F,inferred,extratropics,25,0.9190015525762242,0.5168249921744886,0.034355190032538126,0.5187336754780754,0.03884760346712425,9.975899504662209
