reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A,D,global,25,zos,99,9,4000,0.04358214755814009,0.042756033470087745,-0.000826114088052346,-0.0010057768577711498,-0.0006044729946446593,1.8955332271092917,1.386582642658435,2.3067642751427804
A,D,global,30,so,99,9,4000,0.07416665873203324,0.06789746116185806,-0.006269197570175175,-0.0068822248354502985,-0.00570612880458639,8.45285156073433,7.6490242805983995,9.361247321872511
A,D,global,30,sst,99,9,4000,0.04324791021054548,0.04272428209694081,-0.0005236281136046655,-0.00065664774149965,-0.00039485213937243255,1.2107593431809005,0.920004395704083,1.5079627452157767
A,D,global,30,thetao,99,9,4000,0.06993991958417654,0.06513448511883428,-0.004805434465342262,-0.005376294239338541,-0.004291984285004651,6.870803532392767,6.039402594525306,7.79726676247481
A,D,global,30,ts,99,9,4000,0.07208427574344824,0.06653031784052164,-0.005553957902926593,-0.006127677585725246,-0.005035378230350447,7.704811965779368,6.902181392936799,8.613563516045406
A,D,global,30,uo,99,9,4000,0.5099519416837692,0.49248491865640676,-0.01746702302736247,-0.01925123903784811,-0.015599328229088051,3.4252292421300568,3.0765950761608707,3.749129865471419
A,D,global,30,vo,99,9,4000,0.5692594547968375,0.558282620954986,-0.010976833841851441,-0.01190890220352032,-0.010082998174608681,1.928265529778328,1.772134026012057,2.0906150515947997
A,D,global,30,zos,99,9,4000,0.04613848093050557,0.04522009585613951,-0.0009183850743660626,-0.0011386087111521642,-0.0007310843186134154,1.9904969904608438,1.598380384678711,2.4492127475749745
A,D,tropics,0,so,99,9,4000,0.07326506703638598,0.0648745599442373,-0.008390507092148683,-0.009100415747876135,-0.007802183833019154,11.452261536840835,10.56932533735046,12.465644786595997
A,D,tropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,tropics,0,thetao,99,9,4000,0.06192422168202032,0.052559810874811624,-0.009364410807208692,-0.010371538321515597,-0.008489590621741129,15.122371428897019,13.807183597952664,16.677146478506806
A,D,tropics,0,ts,99,9,4000,0.06783206940220139,0.05903914907565315,-0.008792920326548243,-0.00961741733900364,-0.008146816011071882,12.96277764196131,11.968226770239857,14.160435210092237
A,D,tropics,0,uo,99,9,4000,0.5315639519131808,0.455848727675283,-0.07571522423789784,-0.07979464114301277,-0.07223179258162446,14.243859833870797,13.651304826695442,14.931443473839236
A,D,tropics,0,vo,99,9,4000,0.5405018997229039,0.4572193862949503,-0.08328251342795356,-0.08618176367519101,-0.08090981900843794,15.408366459146494,15.048703153258263,15.81533182694816
A,D,tropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,tropics,5,so,99,9,4000,0.07130214719828452,0.06371623725736171,-0.007585909940922814,-0.008298994183663151,-0.007018251810054409,10.639104485629469,9.767996471825217,11.651098066292299
A,D,tropics,5,sst,99,9,4000,0.02028653239473293,0.020254040821109348,-3.249157362358174e-05,-0.00011777640548254232,6.968613535447274e-05,0.16016326985491824,-0.3434540083023388,0.5810408385496834
A,D,tropics,5,thetao,99,9,4000,0.0595382720155378,0.051582275124350166,-0.007955996891187637,-0.008988745902740104,-0.007058931098613013,13.362828012729944,11.928687518320562,15.015955129428118
A,D,tropics,5,ts,99,9,4000,0.06568410016770418,0.05796762026010972,-0.007716479907594456,-0.008556058889036704,-0.0070523656426410685,11.74786575121345,10.724608480392378,13.006723778787391
A,D,tropics,5,uo,99,9,4000,0.5175257660458878,0.46215312511755546,-0.055372640928332384,-0.059527341521383906,-0.051742202838328644,10.699494510467067,10.085861886831305,11.406328090106456
A,D,tropics,5,vo,99,9,4000,0.5163286534916729,0.46220207424212645,-0.05412657924954645,-0.05619842998272615,-0.05233945537062792,10.482970271650704,10.189450677139211,10.824795858589367
A,D,tropics,5,zos,99,9,4000,0.016804876146947784,0.016229533605588396,-0.0005753425413593874,-0.0008073889705351928,-0.000327891210042762,3.423664276537286,1.9877971677899084,4.713003481217007
A,D,tropics,10,so,99,9,4000,0.07078562280719795,0.06392109198490858,-0.006864530822289369,-0.007572232324545173,-0.0062867858381769,9.697634279473121,8.832184545976284,10.69806701245101
A,D,tropics,10,sst,99,9,4000,0.02490080154863788,0.02480098891960011,-9.981262903776753e-05,-0.00024827239974458873,6.513731312035252e-05,0.4008410285219366,-0.2611270977049467,0.9940555996349247
A,D,tropics,10,thetao,99,9,4000,0.05905853980660681,0.05175025582331355,-0.007308283983293258,-0.00829638774519505,-0.006423314706045793,12.37464388253583,10.965678616889807,13.978306620198452
A,D,tropics,10,ts,99,9,4000,0.06518633108363846,0.05815494380670288,-0.007031387276935579,-0.007854214664811747,-0.0063620737058072965,10.786597680906196,9.756001605053463,12.005166782340018
A,D,tropics,10,uo,99,9,4000,0.5205423971511925,0.47404462089891397,-0.04649777625227858,-0.05024250574574933,-0.043169084401441946,8.932562747386207,8.351788024747872,9.589922480243665
A,D,tropics,10,vo,99,9,4000,0.5199131312780316,0.47434617963903686,-0.04556695163899477,-0.0467896273890882,-0.04451340708974106,8.764339443972835,8.612506377837203,8.957503313503842
A,D,tropics,10,zos,99,9,4000,0.019982869756879032,0.019544046432306762,-0.00043882332457226975,-0.000673435625628678,-0.00018899167045066597,2.195997521433113,0.9622310741626776,3.3344465962800705
A,D,tropics,15,so,99,9,4000,0.07057016619455521,0.06427502131252996,-0.006295144882025247,-0.0070011199503426155,-0.005727449124302325,8.920405351845329,8.09541134042338,9.910892048145927
A,D,tropics,15,sst,99,9,4000,0.02871163208291683,0.028596488617331228,-0.0001151434655856029,-0.000326833543698328,0.00012016881289153259,0.4010342054156957,-0.4162582969023975,1.134575342888085
A,D,tropics,15,thetao,99,9,4000,0.05889481654319574,0.052214121158644725,-0.006680695384551016,-0.007636969481100802,-0.005816521587007024,11.343435257415457,9.947265256584354,12.92706930820779
A,D,tropics,15,ts,99,9,4000,0.064995183561491,0.0585559254606048,-0.006439258100886205,-0.007247897583039046,-0.005765471611466488,9.907285044889703,8.902334892472343,11.104069223781758
A,D,tropics,15,uo,99,9,4000,0.5241326490356563,0.48356682086189284,-0.04056582817376342,-0.044299096334244246,-0.03731899263358363,7.739611002748992,7.167930939842224,8.399689598254199
A,D,tropics,15,vo,99,9,4000,0.5257879201698692,0.48563275276667817,-0.04015516740319103,-0.04196611184479687,-0.0385898429045544,7.637141490473553,7.359263587154152,7.956535826270664
A,D,tropics,15,zos,99,9,4000,0.02285324295857053,0.022667447033083467,-0.00018579592548706447,-0.00038697973031712977,-2.7268571555608062e-05,0.8129958878216326,0.1203094212304729,1.677421933497079
A,D,tropics,20,so,99,9,4000,0.07061686356051013,0.06483578577789353,-0.005781077782616592,-0.006478012629686933,-0.005233860875787275,8.186540000693899,7.381398923758181,9.16008546022796
A,D,tropics,20,sst,99,9,4000,0.03160730302242486,0.031419608505001057,-0.0001876945174238004,-0.000421106696855238,8.626783893234125e-05,0.5938327521669118,-0.2727066747920407,1.3352443526241198
A,D,tropics,20,thetao,99,9,4000,0.05911833373199352,0.052857662303398424,-0.006260671428595099,-0.007178705776382499,-0.00542944814417478,10.59006746870973,9.234586806378006,12.103027963607143
A,D,tropics,20,ts,99,9,4000,0.06512188112443876,0.05915070406012514,-0.005971177064313618,-0.0067626616099477925,-0.005295382792784097,9.169233076826423,8.184125641024877,10.33828476237009
