model,region,box_width_cells,variable,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation
original,global,0,thetao,0.005254452003507839,0.007122614420689051,0.0036758220721637832,0.005025422276080222,0.8589027581043152,0.6008568950624125
original,global,0,velocity,0.4214636249579628,0.5455007161123204,0.38651765117313813,0.19392904014797488,0.878986867505965,0.8061050095944255
original,global,0,zos,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0
original,global,3,so,0.0007904534534919369,0.0008034343685033046,0.00020597388716526153,0.0011819400462935474,0.9918887118374304,0.2584632563877887
original,global,3,sst,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0
original,global,3,thetao,0.0011176799989932778,0.001031713265675866,0.0005538732535163089,0.001041646751993361,1.0408286358778198,0.5157890840185438
original,global,3,velocity,0.21519387840178972,0.29718395700041506,0.19799898433806506,0.11637986670131853,0.8509465383314283,0.7829523384537592
original,global,3,zos,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0
original,global,9,so,0.001827692868054784,0.0023167754722177142,0.0006324559296881201,0.002879556479715479,0.8881976816438791,0.3073524552781012
original,global,9,sst,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0
original,global,9,thetao,0.002548253226769911,0.002720648763092356,0.001410205027772069,0.002448491935197972,0.9677987403462572,0.5355804655402084
original,global,9,velocity,0.38955710977236685,0.5032851217965191,0.3583396537757218,0.17616292489182592,0.8797889875890204,0.8092864263023277
original,global,9,zos,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0
original,tropics,0,so,0.003369125621064016,0.00556262085767442,0.001736710265674249,0.005458325962907337,0.7782495392434587,0.40117054573747746
original,tropics,0,sst,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0
original,tropics,0,thetao,0.004528592134667473,0.005018571690612044,0.00270479210817297,0.00413757960755515,0.9499298562426839,0.5673645808846416
original,tropics,0,velocity,0.3046855535625556,0.45279957606778504,0.26099122293166727,0.2355026841947907,0.8203004044771673,0.7026628050872838
original,tropics,0,zos,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0
original,tropics,3,so,0.0005648074434307948,0.0005817810999804177,6.285309315267514e-05,0.0010208823601204158,0.9853043531482161,0.10964697263192015
original,tropics,3,sst,7.860092261001807e-05,7.860092261001807e-05,7.860092261001807e-05,0.0,1.0,1.0
original,tropics,3,thetao,0.0006616897858492167,0.000303547318987435,4.883093990717377e-05,0.0008675752216586333,1.4764339214047495,0.10895688226545655
original,tropics,3,velocity,0.06404333020244056,0.12056992629098325,0.04932512712351983,0.0859630022065269,0.7288152572124033,0.5613216098839384
original,tropics,3,zos,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0
original,tropics,9,so,0.0015038445879777052,0.002007177723696619,0.0003436639121872265,0.0028236944861298576,0.8655826932352093,0.19780603465068824
original,tropics,9,sst,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0
original,tropics,9,thetao,0.0016890402437456555,0.0013055355775087021,0.00042470831363545635,0.0021451591933148834,1.137432525512011,0.28600683232570073
original,tropics,9,velocity,0.24106198852383698,0.3705146598200384,0.20281272997301328,0.2059511887756261,0.8066064107514732,0.6786223293850563
original,tropics,9,zos,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0
