model,region,lead_days,variable,normalized_mse,normalized_rmse
blur3_truth,global,5,so,0.00440931253363017,0.0664026545676464
blur3_truth,global,5,sst,0.0011660851916824606,0.03414798957014103
blur3_truth,global,5,thetao,0.003108648887674555,0.05575525883425307
blur3_truth,global,5,velocity,0.5009151232774939,0.7077535752488248
blur3_truth,global,5,zos,0.003217692736235184,0.056724710102698486
blur3_truth,global,10,so,0.004632772087610847,0.06806447008249493
blur3_truth,global,10,sst,0.0022708809478302018,0.04765376110896392
blur3_truth,global,10,thetao,0.0033855053827575154,0.058185095881656115
blur3_truth,global,10,velocity,0.5817272451363111,0.7627104595692333
blur3_truth,global,10,zos,0.0039438000771997396,0.06279968214250563
blur3_truth,global,15,so,0.004896735517692683,0.06997667838424944
blur3_truth,global,15,sst,0.003736539399298331,0.06112723942154047
blur3_truth,global,15,thetao,0.003741891298124357,0.06117100046692352
blur3_truth,global,15,velocity,0.6340619329440347,0.7962800593660717
blur3_truth,global,15,zos,0.0044560171569687675,0.06675340558330164
blur3_truth,global,20,so,0.005175797952432953,0.0719430187887119
blur3_truth,global,20,sst,0.005510090989051243,0.07422998712818993
blur3_truth,global,20,thetao,0.004149738442032223,0.06441846351809567
blur3_truth,global,20,velocity,0.6594500705512644,0.812065311752241
blur3_truth,global,20,zos,0.004930018539060642,0.07021409074438437
blur3_truth,global,25,so,0.005471667483704105,0.07397072044872961
blur3_truth,global,25,sst,0.007644004294310061,0.08742999653614349
blur3_truth,global,25,thetao,0.00460407576956452,0.06785334015038995
blur3_truth,global,25,velocity,0.6750833672579776,0.8216345703887937
blur3_truth,global,25,zos,0.005300470641955236,0.07280433120326864
blur3_truth,global,30,so,0.005795514634286439,0.07612827749454495
blur3_truth,global,30,sst,0.010192376079338771,0.10095729829655097
blur3_truth,global,30,thetao,0.005116759265213607,0.07153152637273727
blur3_truth,global,30,velocity,0.698817039474029,0.8359527734711029
blur3_truth,global,30,zos,0.005774617115167304,0.07599090152884952
blur3_truth,tropics,0,so,0.002873125806943249,0.053601546684244564
blur3_truth,tropics,0,sst,0.0001978449813898798,0.0140657378544419
blur3_truth,tropics,0,thetao,0.0033530396969997456,0.05790543754259824
blur3_truth,tropics,0,velocity,0.1990732164604907,0.446176216825248
blur3_truth,tropics,0,zos,0.0003733274249378283,0.019321682766721648
blur3_truth,tropics,5,so,0.0030624480764898446,0.05533938991794041
blur3_truth,tropics,5,sst,0.0004977596273428889,0.022310527276218482
blur3_truth,tropics,5,thetao,0.0035363378636075965,0.059467115817127006
blur3_truth,tropics,5,velocity,0.35905038579656745,0.5992081322850746
blur3_truth,tropics,5,zos,0.0007678065925243405,0.02770932320581541
blur3_truth,tropics,10,so,0.003383120956435489,0.05816460226319345
blur3_truth,tropics,10,sst,0.0010545218558605262,0.032473402283415366
blur3_truth,tropics,10,thetao,0.0038432632827811106,0.0619940584474118
blur3_truth,tropics,10,velocity,0.5139287813293814,0.7168882627923137
blur3_truth,tropics,10,zos,0.0012468738432013565,0.035311100849468806
blur3_truth,tropics,15,so,0.0037266596133713656,0.06104637264712266
blur3_truth,tropics,15,sst,0.0017012780034829423,0.04124655141321444
blur3_truth,tropics,15,thetao,0.004193004243352202,0.06475341105572896
blur3_truth,tropics,15,velocity,0.6095530847953964,0.780738807025369
blur3_truth,tropics,15,zos,0.001726293206130187,0.041548684770160736
blur3_truth,tropics,20,so,0.004077697217727967,0.0638568494190558
blur3_truth,tropics,20,sst,0.0024242964443853686,0.04923714496582198
blur3_truth,tropics,20,thetao,0.004545731869905129,0.06742204290812559
blur3_truth,tropics,20,velocity,0.6378366510516972,0.7986467623747667
blur3_truth,tropics,20,zos,0.002151236266151696,0.04638142156242838
blur3_truth,tropics,25,so,0.004434622780828306,0.06659296344831266
blur3_truth,tropics,25,sst,0.003244973099414168,0.056964665358572655
