index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2
246,2018-03-19 12:00:00,16,0.0014096385707835083,0.001647896826641342,0.0020291871805204666,0.003011538629411971,0.02000826920997012,0.03155342718564014,0.00023825834368172553,0.38687074184417725,0.7311299349930638,0.0013677664811254466,0.0016060249711803251,0.003011538629411971
252,2018-04-18 12:00:00,16,0.0013994461982908427,0.0016372105325809776,0.0019834414717397227,0.003006183948177328,0.020010637669964804,0.031167710332071996,0.00023776423182892784,0.3807756304740906,0.7340122302657066,0.001350311892467409,0.0015880761096590218,0.003006183948177328
258,2018-05-18 12:00:00,16,0.0014094048421326958,0.001636078541164443,0.0019982080638148952,0.0030019229671423772,0.01999742158393758,0.030943727725480485,0.0002266736990317471,0.3880923092365265,0.7313228384032444,0.0013068257167758817,0.0015334992987091063,0.0030019229671423772
264,2018-06-17 12:00:00,16,0.0014023943877905939,0.001632894163944908,0.0019699292390370463,0.002948808716737876,0.020232317863968063,0.031032767555040808,0.00023049986397820596,0.3629555404186249,0.7252468659535274,0.0013497019262639614,0.001580201819516798,0.002948808716737876
270,2018-07-17 12:00:00,16,0.0014383703326461981,0.0016607077562930588,0.001982686654664003,0.0029245320852603605,0.019729826553930296,0.03042504423328163,0.000222337628569275,0.3873327076435089,0.7134681524293348,0.001329481938899719,0.0015518197138421471,0.0029245320852603605
276,2018-08-16 12:00:00,16,0.0014707520554536884,0.0016996592917026677,0.0020172644431615413,0.002867900663635518,0.02032415942450927,0.030897885541623538,0.00022890719233703333,0.3931241035461426,0.6990973089565017,0.0012315782062488096,0.0014604853253992664,0.002867900663635518
282,2018-09-15 12:00:00,16,0.001605815716120705,0.0018398752873575324,0.002144863892711958,0.0029473356173254413,0.021918574197606455,0.032071135818120045,0.00023405935167709774,0.35656654834747314,0.675126144639028,0.0012749212875459018,0.0015089807416842067,0.0029473356173254413
288,2018-10-15 12:00:00,16,0.0015246575405743917,0.0017619917719915639,0.002090075836027541,0.0029501747881007906,0.021610747050444634,0.03184322206989765,0.00023733433387837928,0.3639395833015442,0.6987961186733535,0.0012416027765588028,0.0014789371250744975,0.0029501747881007906
294,2018-11-14 12:00:00,16,0.001494196701929189,0.0017279287485987207,0.002046252182394309,0.00294738667228123,0.02158273766632457,0.03218892212085622,0.00023373207594416223,0.3493190407752991,0.705873622016252,0.0013263145409659395,0.0015600467047339934,0.00294738667228123
300,2018-12-14 12:00:00,16,0.0014388311153320432,0.001677418066742397,0.0019914629547246676,0.0028651467405845133,0.021286970775577396,0.031857358856770546,0.00023858689286109267,0.34308892488479614,0.7099514245437349,0.001331677770392722,0.001570264721803076,0.0028651467405845133
