split,variant,seed,region,lead_step,method,weighted_squared_error,weight,weighted_bias_u,weighted_bias_v,vector_rmse_m_per_s,bias_u_m_per_s,bias_v_m_per_s,forecast_dates,minimum_valid_cells,maximum_valid_cells,minimum_lead_days,maximum_lead_days
test,D4,15,southern_ocean,2,damped_linear,28721.734939575195,851759.26171875,30.60289509302228,-2.1319015465169544,0.18363138198462362,3.592904294491525e-05,-2.5029390842372854e-06,118,139797,139797,10.0,10.0
test,D4,15,southern_ocean,2,persistence,26430.91111755371,851759.26171875,41.01990895171523,-3.12457084420987,0.17615607895614507,4.8159040699999995e-05,-3.668373194915255e-06,118,139797,139797,10.0,10.0
test,D4,15,southern_ocean,2,samudra,11050.118453979492,851759.26171875,3161.245968560701,-5224.206875396017,0.1139003436679661,0.0037114312818644067,-0.006133431252457627,118,139797,139797,10.0,10.0
test,D4,15,southern_ocean,2,seasonal_climatology,38417.165435791016,851759.26171875,-695.0351280159733,-28.392787679988118,0.2123754081866458,-0.0008159994956949152,-3.3334286994067796e-05,118,139797,139797,10.0,10.0
test,D4,15,southern_ocean,4,damped_linear,59543.43325805664,851759.26171875,56.958622596563565,-0.7087240911506738,0.2643982058869519,6.687173847881356e-05,-8.32070894915251e-07,118,139797,139797,20.0,20.0
test,D4,15,southern_ocean,4,persistence,44449.790435791016,851759.26171875,77.79262198429205,-2.694050286798409,0.22844224871501606,9.133170072881355e-05,-3.1629245584745766e-06,118,139797,139797,20.0,20.0
test,D4,15,southern_ocean,4,samudra,22665.865676879883,851759.26171875,6310.35435440355,-9274.82298834275,0.16312770379275213,0.007408612548186441,-0.010889019239576272,118,139797,139797,20.0,20.0
test,D4,15,southern_ocean,4,seasonal_climatology,38510.492614746094,851759.26171875,-686.6850215864948,-27.713939306966473,0.21263321449055514,-0.0008061961312881357,-3.2537291406779665e-05,118,139797,139797,20.0,20.0
test,D4,15,southern_ocean,6,damped_linear,87545.9306640625,851759.26171875,89.84279381741608,0.8430735902915178,0.3205970705139114,0.00010547909233898307,9.898026686440656e-07,118,139797,139797,30.0,30.0
test,D4,15,southern_ocean,6,persistence,53500.470703125,851759.26171875,121.09379156181896,-2.134933931189193,0.2506226796819588,0.00014216903414406782,-2.5064992271186434e-06,118,139797,139797,30.0,30.0
test,D4,15,southern_ocean,6,samudra,30235.90330505371,851759.26171875,9122.504518888558,-12876.016219403706,0.1884096060885657,0.010710191164203388,-0.015116966492881356,118,139797,139797,30.0,30.0
test,D4,15,southern_ocean,6,seasonal_climatology,38599.453125,851759.26171875,-671.6993691548756,-26.19814796178448,0.2128786676963058,-0.000788602366118644,-3.0757690745762716e-05,118,139797,139797,30.0,30.0
test,D4,16,global_outside_5deg,1,damped_linear,27433.24774169922,3845924.107421875,-96.93379259633457,14.2399168461144,0.0844575069837466,-2.5204291579563796e-05,3.702599543926041e-06,118,624489,624500,5.0,5.0
test,D4,16,global_outside_5deg,1,persistence,31544.43113708496,3845924.107421875,-131.30033182287653,14.999974189893774,0.09056512585202303,-3.414012553432679e-05,3.900226257961456e-06,118,624489,624500,5.0,5.0
test,D4,16,global_outside_5deg,1,samudra,10839.732925415039,3845924.107421875,-4756.066928659491,7266.974580349018,0.053089536778759897,-0.0012366512691920311,0.0018895262562059376,118,624489,624500,5.0,5.0
test,D4,16,global_outside_5deg,1,seasonal_climatology,140708.361328125,3845924.107421875,-2012.4686375502622,893.7283722568222,0.19127561089773085,-0.0005232731019487864,0.0002323832575198514,118,624489,624500,5.0,5.0
test,D4,16,global_outside_5deg,2,damped_linear,89074.21203613281,3845923.544921875,-189.48336549861529,31.83424637260531,0.15218633957135283,-4.926862515215819e-05,8.277399693667593e-06,118,624487,624500,10.0,10.0
test,D4,16,global_outside_5deg,2,persistence,87412.56359863281,3845923.544921875,-258.1695160167038,33.37373716113186,0.15076016545388077,-6.712809368183845e-05,8.67769126747157e-06,118,624487,624500,10.0,10.0
test,D4,16,global_outside_5deg,2,samudra,35382.623931884766,3845923.544921875,-10943.166445475601,16783.470925727906,0.09591680303689847,-0.002845393653216239,0.004363963747508361,118,624487,624500,10.0,10.0
test,D4,16,global_outside_5deg,2,seasonal_climatology,140706.06982421875,3845923.544921875,-2088.5202316307355,905.5235078057755,0.1912740673710968,-0.0005430477770127282,0.00023545021039261715,118,624487,624500,10.0,10.0
test,D4,16,global_outside_5deg,4,damped_linear,204122.14624023438,3845922.880859375,-362.99495999104704,94.06405395543142,0.23038000178998325,-9.438435747051056e-05,2.4458122762568945e-05,118,624487,624500,20.0,20.0
test,D4,16,global_outside_5deg,4,persistence,163141.49682617188,3845922.880859375,-500.4077811982921,97.46058417649199,0.20595955063406624,-0.00013011383657450653,2.5341273654118185e-05,118,624487,624500,20.0,20.0
test,D4,16,global_outside_5deg,4,samudra,80334.61822509766,3845922.880859375,-19376.860141621124,33860.7086293797,0.14452769664892176,-0.005038286190827453,0.008804312951229404,118,624487,624500,20.0,20.0
test,D4,16,global_outside_5deg,4,seasonal_climatology,140704.5692138672,3845922.880859375,-2208.4075447694318,935.4601162445483,0.191273063926162,-0.000574220444138485,0.00024323423667702845,118,624487,624500,20.0,20.0
test,D4,16,global_outside_5deg,6,damped_linear,302189.826171875,3845922.728515625,-554.3156075068567,166.0136361886793,0.2803106782963787,-0.00014413071885113011,4.316613928765907e-05,118,624487,624500,30.0,30.0
test,D4,16,global_outside_5deg,6,persistence,200924.24951171875,3845922.728515625,-760.4593341016791,171.11674488736793,0.2285682484778255,-0.00019773130865663195,4.449302728279522e-05,118,624487,624500,30.0,30.0
test,D4,16,global_outside_5deg,6,samudra,111277.00103759766,3845922.728515625,-26133.309245392487,50496.42024098738,0.17009926195107974,-0.006795068723463125,0.01312985824353185,118,624487,624500,30.0,30.0
test,D4,16,global_outside_5deg,6,seasonal_climatology,140707.18591308594,3845922.728515625,-2324.7772023829757,952.5836838498093,0.19127484626995375,-0.0006044783960805807,0.0002476866414363632,118,624487,624500,30.0,30.0
test,D4,16,gulf_stream,1,damped_linear,3299.114095687866,159350.86157226562,-0.4958562828171642,-0.21707491266695111,0.14388696750363492,-3.1117263999999986e-06,-1.3622449889830537e-06,118,21273,21273,5.0,5.0
test,D4,16,gulf_stream,1,persistence,3572.1201610565186,159350.86157226562,-1.268503594367815,-0.738098881905624,0.14972206962480092,-7.960443902542369e-06,-4.631910205084747e-06,118,21273,21273,5.0,5.0
test,D4,16,gulf_stream,1,samudra,1301.7884645462036,159350.86157226562,-246.69816260072213,304.30984161501175,0.09038430053263986,-0.0015481445168644067,0.0019096843193220341,118,21273,21273,5.0,5.0
test,D4,16,gulf_stream,1,seasonal_climatology,12356.287864685059,159350.86157226562,-44.964830272994135,-8.637433757770044,0.2784625531709558,-0.0002821750057033898,-5.4203872338983034e-05,118,21273,21273,5.0,5.0
test,D4,16,gulf_stream,2,damped_linear,10037.241661071777,159350.86157226562,1.3067719974931449,2.173852016099058,0.25097472226276396,8.200595745762715e-06,1.3641921949152538e-05,118,21273,21273,10.0,10.0
test,D4,16,gulf_stream,2,persistence,9130.656341552734,159350.86157226562,-0.23852286422932023,1.131802875332966,0.23937224372374935,-1.4968407567796558e-06,7.102583972033897e-06,118,21273,21273,10.0,10.0
test,D4,16,gulf_stream,2,samudra,3700.4003410339355,159350.86157226562,-550.1485952469969,724.7599798903696,0.1523867294254224,-0.003452435649351695,0.004548202455508475,118,21273,21273,10.0,10.0
test,D4,16,gulf_stream,2,seasonal_climatology,12322.88410949707,159350.86157226562,-44.758416835999604,-8.2380034431918,0.27808590323873184,-0.00028087966638135596,-5.169726327118643e-05,118,21273,21273,10.0,10.0
test,D4,16,gulf_stream,4,damped_linear,20519.66244506836,159350.86157226562,6.721989780740956,10.794343824701567,0.35884582528781406,4.218357977118645e-05,6.773947575932203e-05,118,21273,21273,20.0,20.0
test,D4,16,gulf_stream,4,persistence,14992.542945861816,159350.86157226562,3.6313981372801925,8.71023796049915,0.3067329580090432,2.2788694717118633e-05,5.466075222033899e-05,118,21273,21273,20.0,20.0
test,D4,16,gulf_stream,4,samudra,7691.530368804932,159350.86157226562,-937.6413702513609,1456.1990921837219,0.21969955213187364,-0.0058841311618898304,0.009138319541016949,118,21273,21273,20.0,20.0
test,D4,16,gulf_stream,4,seasonal_climatology,12248.992156982422,159350.86157226562,-42.752830349354504,-2.895473116560095,0.27725090363818095,-0.0002682936880762712,-1.8170426491525416e-05,118,21273,21273,20.0,20.0
test,D4,16,gulf_stream,6,damped_linear,29672.388900756836,159350.86157226562,7.1523677097368275,15.397398503506814,0.4315181311557357,4.488439936355931e-05,9.662576249406781e-05,118,21273,21273,30.0,30.0
test,D4,16,gulf_stream,6,persistence,17826.196487426758,159350.86157226562,2.5165024681435098,12.271250311597893,0.33446612344752924,1.5792211245762708e-05,7.700774373305086e-05,118,21273,21273,30.0,30.0
test,D4,16,gulf_stream,6,samudra,9918.983940124512,159350.86157226562,-1199.2312683424277,2203.1594682900777,0.2494918627651617,-0.007525728173101695,0.013825839700847458,118,21273,21273,30.0,30.0
test,D4,16,gulf_stream,6,seasonal_climatology,12179.417266845703,159350.86157226562,-45.94923049713695,-0.8653356452372127,0.2764623828112767,-0.0002883525701949153,-5.430379457627112e-06,118,21273,21273,30.0,30.0
test,D4,16,kuroshio,1,damped_linear,2636.329963684082,168432.75634765625,5.345647314119864,0.6787297399033979,0.12510843888686504,3.1737575457627125e-05,4.02967780508475e-06,118,21916,21916,5.0,5.0
test,D4,16,kuroshio,1,persistence,3012.5318565368652,168432.75634765625,7.741901760846215,1.145071022302897,0.13373729849508517,4.596434760508474e-05,6.798386769491531e-06,118,21916,21916,5.0,5.0
test,D4,16,kuroshio,1,samudra,1034.568172454834,168432.75634765625,-274.1251205107252,249.1593769278675,0.07837296529425994,-0.0016275048063983052,0.0014792810040677967,118,21916,21916,5.0,5.0
test,D4,16,kuroshio,1,seasonal_climatology,17417.884490966797,168432.75634765625,-185.60772360340084,-50.04591019305102,0.32157658965722646,-0.0011019692821525424,-0.0002971269441779661,118,21916,21916,5.0,5.0
test,D4,16,kuroshio,2,damped_linear,8430.175765991211,168432.75634765625,7.709973429589548,0.3834081926825865,0.22372011654595336,4.577478631101694e-05,2.276327960169499e-06,118,21916,21916,10.0,10.0
test,D4,16,kuroshio,2,persistence,8267.14584350586,168432.75634765625,12.502491434826151,1.3160939841107835,0.22154631038301859,7.422838470338981e-05,7.813765045762709e-06,118,21916,21916,10.0,10.0
test,D4,16,kuroshio,2,samudra,3124.0727825164795,168432.75634765625,-609.1834995706339,583.6657837108694,0.1361906503324976,-0.0036167756960127115,0.003465274786016949,118,21916,21916,10.0,10.0
test,D4,16,kuroshio,2,seasonal_climatology,17400.295608520508,168432.75634765625,-185.17163342613355,-51.182640917996764,0.32141418183201886,-0.0010993801766440677,-0.00030387581387288136,118,21916,21916,10.0,10.0
test,D4,16,kuroshio,4,damped_linear,19176.05451965332,168432.75634765625,12.165785677031746,-1.760717862075905,0.3374165262510805,7.222933318220339e-05,-1.0453535881355928e-05,118,21916,21916,20.0,20.0
test,D4,16,kuroshio,4,persistence,15577.424392700195,168432.75634765625,21.750797607187646,0.10465385609765399,0.3041126937606038,0.00012913638700000002,6.213390932203328e-07,118,21916,21916,20.0,20.0
test,D4,16,kuroshio,4,samudra,6802.78120803833,168432.75634765625,-1072.6589935220302,1136.728226916678,0.20096941752069813,-0.006368470223855933,0.006748854863898306,118,21916,21916,20.0,20.0
test,D4,16,kuroshio,4,seasonal_climatology,17362.80170440674,168432.75634765625,-185.07688847337403,-56.103899686503624,0.3210677057818873,-0.0010988176675762712,-0.00033309375743220335,118,21916,21916,20.0,20.0
test,D4,16,kuroshio,6,damped_linear,28853.986206054688,168432.75634765625,14.346969880335848,-7.083915676930309,0.4138944777617405,8.51792144915254e-05,-4.205782669915253e-05,118,21916,21916,30.0,30.0
test,D4,16,kuroshio,6,persistence,19827.588081359863,168432.75634765625,28.7244978561988,-4.285858217216051,0.34310074891319736,0.0001705398550677966,-2.5445514935169487e-05,118,21916,21916,30.0,30.0
test,D4,16,kuroshio,6,samudra,9710.879940032959,168432.75634765625,-1403.83664861807,1761.4298815209486,0.24011318830229686,-0.008334700916016948,0.010457763203050847,118,21916,21916,30.0,30.0
test,D4,16,kuroshio,6,seasonal_climatology,17305.647300720215,168432.75634765625,-187.7613354865332,-65.29853543050378,0.3205388291682021,-0.0011147554641864406,-0.00038768311370338985,118,21916,21916,30.0,30.0
test,D4,16,north_pacific_gyre,1,damped_linear,237.9908126592636,105038.52392578125,11.755313716714937,-1.8396669925820932,0.04759987266451405,0.00011191430798305085,-1.75142121559322e-05,118,12775,12775,5.0,5.0
test,D4,16,north_pacific_gyre,1,persistence,300.9781548976898,105038.52392578125,15.869372027537302,-2.2492065708644606,0.05352949949139508,0.00015108144549661015,-2.1413158589830514e-05,118,12775,12775,5.0,5.0
test,D4,16,north_pacific_gyre,1,samudra,103.42561614513397,105038.52392578125,-8.137802890971802,198.00890969646792,0.03137904726608572,-7.747445972033898e-05,0.0018851075043322034,118,12775,12775,5.0,5.0
test,D4,16,north_pacific_gyre,1,seasonal_climatology,2062.3169803619385,105038.52392578125,947.5699389205982,229.86610842917983,0.14012105667702737,0.009021165792372882,0.002188398121355932,118,12775,12775,5.0,5.0
test,D4,16,north_pacific_gyre,2,damped_linear,845.8003673553467,105038.52392578125,23.207575200002132,-3.718757993939543,0.08973453768590445,0.0002209434627661017,-3.540375335593221e-05,118,12775,12775,10.0,10.0
test,D4,16,north_pacific_gyre,2,persistence,927.7695398330688,105038.52392578125,31.435687082718136,-4.537835626199459,0.09398223089932019,0.00029927769267711865,-4.32016317118644e-05,118,12775,12775,10.0,10.0
test,D4,16,north_pacific_gyre,2,samudra,402.5433683395386,105038.52392578125,-47.285763775087894,464.9992168572686,0.06190589875319106,-0.0004501754404745763,0.004426939750084746,118,12775,12775,10.0,10.0
test,D4,16,north_pacific_gyre,2,seasonal_climatology,2059.4081926345825,105038.52392578125,952.6718585326805,226.69649503932877,0.1400222051829007,0.009069737682203389,0.0021582223984745763,118,12775,12775,10.0,10.0
test,D4,16,north_pacific_gyre,4,damped_linear,2264.227765083313,105038.52392578125,46.36704211264079,-6.324291557611356,0.1468201795192995,0.00044142891940677966,-6.0209257720338986e-05,118,12775,12775,20.0,20.0
test,D4,16,north_pacific_gyre,4,persistence,2034.5097370147705,105038.52392578125,62.823269168093006,-7.962455785121845,0.1391731898198598,0.0005980974105508475,-7.580509976271187e-05,118,12775,12775,20.0,20.0
test,D4,16,north_pacific_gyre,4,samudra,1011.5457973480225,105038.52392578125,-105.60359725171779,1030.53863263054,0.09813376695893077,-0.0010053796769491526,0.009811054022033899,118,12775,12775,20.0,20.0
test,D4,16,north_pacific_gyre,4,seasonal_climatology,2052.5993690490723,105038.52392578125,961.5994690982787,221.9919579721038,0.13979054255659526,0.009154731361016948,0.0021134337162711865,118,12775,12775,20.0,20.0
test,D4,16,north_pacific_gyre,6,damped_linear,3504.8255729675293,105038.52392578125,68.82474909788954,-4.981317832719785,0.1826664966087744,0.000655233399381356,-4.742372271186441e-05,118,12775,12775,30.0,30.0
