model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,tropics,uo_0,0.17653739912477961,0.012354905999682262,0.011662224841587951,0.15252026828350942,1.0799596265014308,1.2132808435510807
original,tropics,uo_1,0.18627479853585732,0.011781082743632562,0.012222697233587713,0.16227101855863707,1.2262833742437766,1.3752918149273463
original,tropics,uo_2,0.16753836696389626,0.011302159633359569,0.008963085668298964,0.14727312166223772,1.280042492003138,1.3902622937971814
original,tropics,uo_3,0.16314852132567245,0.011397121284722141,0.008572998138926787,0.14317840190202355,1.1478226007808214,1.2621200299874458
original,tropics,uo_4,0.16773895960197147,0.01210107163339872,0.010801762990796748,0.144836124977776,0.8204206577155824,0.9480019890044887
original,tropics,uo_5,0.17841354397688067,0.020525032929489123,0.01395547688504457,0.14393303416234698,0.5157786330529054,0.6370922318434203
original,tropics,uo_6,0.1664778826243212,0.016303172920687475,0.013663026473569432,0.1365116832300643,0.2880302357665581,0.38176560405882176
original,tropics,uo_7,0.19248604430622263,0.013261843231343327,0.01587209403137695,0.16335210704350234,0.2835935767681885,0.3891941372420615
original,tropics,uo_8,0.21153709293597073,0.011756270856466158,0.01936875773278106,0.18041206434672352,0.29954564865006245,0.4234292282987556
original,tropics,uo_9,0.23438236426358205,0.011820594498050922,0.02240440014158184,0.20015736962394928,0.3166468208609021,0.46285219116637594
original,tropics,uo_10,0.26517356467295233,0.011609030652770348,0.02804932580367979,0.22551520821650223,0.3358454551611351,0.5083110124172783
original,tropics,uo_11,0.3038848855806138,0.013578988346677092,0.032013547202355254,0.2582923500315814,0.34971052148871096,0.5464003534977127
original,tropics,uo_12,0.3459499759395395,0.014882994672615493,0.0392841763705034,0.29178280489642067,0.3644497326112759,0.5925246821382217
original,tropics,uo_13,0.3595432496510683,0.01661292122151399,0.040070109679203,0.3028602187503513,0.3625384292959359,0.5910806257724263
