model,region,box_width_cells,channel,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse
original,tropics,9,so_16,0.0011456101636562234,5.033917249870637e-05,-6.16602093497927e-06,0.0012082813808581595
original,tropics,9,so_17,0.0015363752526804956,0.00020892455065011454,6.974271621337987e-05,0.001605814365162091
original,tropics,9,so_18,0.000675062902361117,0.00012531641410955352,3.484022519068267e-05,0.0007306988770847746
original,tropics,9,zos,0.0009003529893093263,0.0009003529893093263,0.0009003529893093263,0.0
original,extratropics,9,uo_0,0.16002827039872758,0.18680082336820739,0.1536445516829539,0.039539989272151334
original,extratropics,9,uo_1,0.19293104849680506,0.22312709192434949,0.18675526811016932,0.042547604238445114
original,extratropics,9,uo_2,0.22821392976876462,0.26246359477741554,0.2212361220759575,0.048205282463870874
original,extratropics,9,uo_3,0.24779228941358702,0.2848877702096496,0.2405182845664747,0.051643488119647966
original,extratropics,9,uo_4,0.23183953536279275,0.26636684843988134,0.22494607968161806,0.048314224928617484
original,extratropics,9,uo_5,0.238111373451021,0.27225879858238533,0.23027307758427631,0.04982401618752817
original,extratropics,9,uo_6,0.30171434475918013,0.34885121595979945,0.29273232877856553,0.06510090692476793
original,extratropics,9,uo_7,0.44140319059593514,0.5145033838773015,0.4280578250234778,0.09979092976962678
original,extratropics,9,uo_8,0.4937827135577347,0.582135381120624,0.47833014497853293,0.1192578057749103
original,extratropics,9,uo_9,0.4810840270736001,0.5715002839011376,0.4643241708928889,0.1239359708446445
original,extratropics,9,uo_10,0.4490278724468116,0.547546257575353,0.4335213414948396,0.1295314443231833
original,extratropics,9,uo_11,0.4252764185269674,0.5301824645562606,0.4085877245724804,0.13828343980842167
original,extratropics,9,uo_12,0.39636804088197575,0.5108506504935448,0.376545075515304,0.15412854470989923
original,extratropics,9,uo_13,0.3720090569871845,0.49682288820093334,0.34292025758762557,0.18299142519632977
original,extratropics,9,uo_14,0.3865444178533073,0.5408639952991948,0.34428065533589836,0.2388471110601618
original,extratropics,9,uo_15,0.4148109642544178,0.611780305101414,0.3523344933384597,0.32192228538821444
original,extratropics,9,uo_16,0.44077077538076076,0.7039016449090207,0.35881998924293906,0.4270324457173396
original,extratropics,9,uo_17,0.4041459331608782,0.6641883838056314,0.3141437335447832,0.4400468522852118
original,extratropics,9,uo_18,0.32126177290473323,0.5707012405901245,0.2580110083023707,0.3759409999004518
original,extratropics,9,vo_0,0.4267301252394012,0.44753032802331333,0.41758229365252486,0.03909586497930566
original,extratropics,9,vo_1,0.46055206776869423,0.4815461301442349,0.45248235626654193,0.03713348665923784
original,extratropics,9,vo_2,0.5148403042494649,0.5380969399755652,0.5070164622080446,0.038904317174897056
original,extratropics,9,vo_3,0.5698516754188924,0.5947565821686177,0.5618696646256881,0.04086893638878158
original,extratropics,9,vo_4,0.600610481970238,0.6240181453300245,0.5911992565549986,0.04223010636339284
original,extratropics,9,vo_5,0.64813995180708,0.6777440357689907,0.6395072160345135,0.04686955908181692
original,extratropics,9,vo_6,0.7199026743570964,0.7542454227052554,0.7094879583878951,0.05517218397422271
original,extratropics,9,vo_7,0.7674713598357307,0.8073560523264337,0.7553105173688947,0.06420637983264346
original,extratropics,9,vo_8,0.7897110762018147,0.8345684523534294,0.7757778691523004,0.0727237994321669
original,extratropics,9,vo_9,0.7842736599421261,0.8382713006000326,0.7714863220850627,0.0795723196081441
original,extratropics,9,vo_10,0.7581779890590244,0.8269889077754936,0.7477020880188605,0.08976272079679702
original,extratropics,9,vo_11,0.7257707371856228,0.8145285983278294,0.71729627161315,0.10570678747061528
original,extratropics,9,vo_12,0.6771744423442417,0.7847515404826464,0.664159270850095,0.13360744218031567
original,extratropics,9,vo_13,0.6249516389586709,0.7575121973500107,0.5992097385001905,0.1840443496752267
original,extratropics,9,vo_14,0.5951174870885985,0.769137831649395,0.5534505362462516,0.2573542482022083
original,extratropics,9,vo_15,0.5708189284560656,0.7941100723815687,0.5042173871488282,0.3564942256368772
original,extratropics,9,vo_16,0.5328412495478235,0.8082701124326148,0.44775733351707464,0.44559669976282607
original,extratropics,9,vo_17,0.48729546142346936,0.7578415930873217,0.39702211455865344,0.4510928290058869
original,extratropics,9,vo_18,0.41110300355487406,0.6847799408315409,0.3439364499515958,0.4080100486976932
original,extratropics,9,thetao_0,0.0010018364621580324,0.0010018364621580324,0.0010018364621580324,0.0
original,extratropics,9,thetao_1,0.0011003381482118536,0.0010153541783567029,0.0009014771961973925,0.00031273792270862625
original,extratropics,9,thetao_2,0.0012276588270036185,0.0011257538883570545,0.000829353873298099,0.0006947049640608256
original,extratropics,9,thetao_3,0.0014994239112399897,0.0014500984054228122,0.0008169641998135533,0.0013155939240911694
original,extratropics,9,thetao_4,0.0017790659601245114,0.001892992317667137,0.0009407238379788745,0.0017906105853711266
original,extratropics,9,thetao_5,0.002199303800936299,0.002581357520845051,0.001303819784273704,0.0021730217602894163
original,extratropics,9,thetao_6,0.002917381125793915,0.004088469080137785,0.002084476258276463,0.0028368977105451957
original,extratropics,9,thetao_7,0.004182248016480696,0.005793942947580357,0.003350255582857915,0.0032756798030488723
original,extratropics,9,thetao_8,0.006146570131408446,0.008148950929142008,0.005225719216119762,0.003844082658884652
original,extratropics,9,thetao_9,0.0078939981993777,0.010075212851392502,0.006837043859478501,0.004295123256554808
original,extratropics,9,thetao_10,0.007401076620538729,0.0091342633552473,0.006215917943704009,0.004103504128359033
original,extratropics,9,thetao_11,0.005236320286951583,0.008389123489685131,0.003960872449996797,0.005703698914272316
original,extratropics,9,thetao_12,0.0026343551257418264,0.004658843136646531,0.0011133098636161198,0.00506657852104517
original,extratropics,9,thetao_13,0.0016320029231296346,0.0012965247909905333,0.0005529160112156675,0.0018226956911008769
original,extratropics,9,thetao_14,0.0017138438880198986,0.001244752472642847,0.0006752504292179389,0.0016080954716531468
original,extratropics,9,thetao_15,0.002006595876688759,0.0013002991415278027,0.0007079184717367018,0.0018910580759190702
original,extratropics,9,thetao_16,0.002839916214027038,0.001482570708512959,0.0004707106813609676,0.0033810655633457988
original,extratropics,9,thetao_17,0.001921222016045993,0.0005832593358883804,9.640529981080556e-05,0.002311670741141595
original,extratropics,9,thetao_18,0.0009519352661116482,0.00030635784963978403,8.282614505856834e-05,0.0010926408229884929
