region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
tropics,vo,0.19178264819637425,0.007773923062199311,0.019775204719403496,0.16423352041477135,0.040535069962321445,0.10311258555129993,0.8563523444863781,D
tropics,zos,0.0,0.0,0.0,0.0,,,,D
extratropics,so,0.008758073744024226,0.0052905489239075685,0.0011802942395479,0.0022872305805686686,0.6040767728768435,0.13476641942564527,0.26115680769750116,E
extratropics,sst,0.0,0.0,0.0,0.0,,,,E
extratropics,thetao,0.007827739153083718,0.0046448147584010275,0.0008594424589961667,0.002323481935686411,0.5933788374349719,0.10979446838843519,0.2968266941765786,E
extratropics,uo,0.28563090276248027,0.04198677494712684,0.0641299632516437,0.17951416456370958,0.14699661185485044,0.2245203954873599,0.6284829926577892,E
extratropics,vo,0.3759023428654269,0.051841243931602,0.07818548067950719,0.24587561825431758,0.13791146800636242,0.20799412976124387,0.6540944022323933,E
extratropics,zos,0.0,0.0,0.0,0.0,,,,E
global,so,0.008536398866694694,0.004787548695543284,0.0012976515866236949,0.0024511985845275894,0.5608393855894213,0.15201393548824968,0.2871466789223144,E
global,sst,0.0,0.0,0.0,0.0,,,,E
global,thetao,0.008238016779806361,0.005185561872498361,0.0008474912594673222,0.0022049636478405892,0.6294672627044893,0.10287564132483389,0.26765709597066617,E
global,uo,0.29279967906806653,0.041646593586238435,0.06356235220571534,0.1875907332761127,0.1422357897344448,0.21708477416376926,0.6406794361017857,E
global,vo,0.3531662876067569,0.04468988414771041,0.08915459555996245,0.21932180789908387,0.12654062892172666,0.25244367508609483,0.6210156959921781,E
global,zos,0.0,0.0,0.0,0.0,,,,E
tropics,so,0.008200684929123531,0.003960327091666199,0.0014969298874009105,0.0027434279500563315,0.482926380649216,0.18253717833796823,0.3345364410128048,E
tropics,sst,0.0,0.0,0.0,0.0,,,,E
tropics,thetao,0.008920802147878878,0.006071375138202672,0.0008314717793140221,0.002017955230362089,0.6805862340133032,0.0932059433143827,0.22620782267230344,E
tropics,uo,0.30696552480053085,0.041491804186605745,0.06290571008311728,0.20256801053080775,0.135167635562878,0.20492760587363684,0.659904758563485,E
tropics,vo,0.31789794911643,0.03327616249632445,0.1071969166204054,0.1774248699997,0.10467561237438833,0.3372054362676765,0.5581189513579348,E
tropics,zos,0.0,0.0,0.0,0.0,,,,E
extratropics,so,0.0077637683402833465,0.004431498769572,0.0010072213136437264,0.0023250482570675054,0.5707922461543035,0.12973356101026667,0.2994741928354151,F
extratropics,sst,0.0,0.0,0.0,0.0,,,,F
extratropics,thetao,0.007433473677141678,0.004187548654584617,0.0008144718180355612,0.0024314532045214055,0.5633367166499221,0.10956813105292951,0.32709515229713554,F
extratropics,uo,0.24655715192784397,0.033572090296016724,0.03855883380807294,0.1744262278237542,0.13616352246736588,0.15638902991285913,0.7074474476197745,F
extratropics,vo,0.2956310035588342,0.0381811535037834,0.04264283316279878,0.21480701689225193,0.12915138481470154,0.14424344080783236,0.7266051743774657,F
extratropics,zos,0.0,0.0,0.0,0.0,,,,F
global,so,0.007619652430483111,0.004019575211260316,0.0011170961974374736,0.0024829810217851843,0.5275273705634709,0.14660723801107106,0.32586539142544,F
global,sst,0.0,0.0,0.0,0.0,,,,F
global,thetao,0.007601453156369561,0.0045194665195257555,0.0008090978931075666,0.0022728887437361333,0.5945529659337194,0.10643989727537703,0.2990071367908897,F
global,uo,0.25713787309221675,0.03126282112088097,0.04111800678140293,0.18475704518993274,0.1215799942067237,0.15990645907947162,0.7185135467138042,F
global,vo,0.2905136110053168,0.03293025952167248,0.05237901200526017,0.205204339478384,0.11335186467758927,0.18029796202664514,0.7063501732957651,F
global,zos,0.0,0.0,0.0,0.0,,,,F
tropics,so,0.007425823812379111,0.003353853287931079,0.0013052298272887368,0.0027667406971591843,0.45164730172295325,0.17576902714994028,0.3725836711270916,F
tropics,sst,0.0,0.0,0.0,0.0,,,,F
tropics,thetao,0.007897482477425895,0.0050713437537276,0.00080510394286115,0.00202103478083705,0.6421468826583018,0.10194437849814204,0.25590873884354426,F
tropics,uo,0.2766001887718458,0.02768010961944133,0.045596015479514286,0.20332406367289008,0.10007263459343957,0.16484448431495557,0.7350828810916046,F
tropics,vo,0.2844291250489732,0.024498690699182854,0.06859845846049355,0.19133197588929665,0.08613284836763693,0.24117944478675388,0.6726877068456086,F
tropics,zos,0.0,0.0,0.0,0.0,,,,F
