reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
C,D,extratropics,10,ts,99,9,4000,0.0696603313081964,0.06767655063577367,-0.001983780672422733,-0.0022909116052062498,-0.0016554574597169025,2.8477910385552807,2.3519852489497572,3.311779531879927
C,D,extratropics,10,uo,99,9,4000,0.4317330681938456,0.4047783217162645,-0.026954746477581115,-0.028003903387058215,-0.026004471919190725,6.243382419221732,6.072091963438812,6.439644611814828
C,D,extratropics,10,vo,99,9,4000,0.4743887442396548,0.4592781026527172,-0.015110641586937645,-0.016236065209644233,-0.01397094796034139,3.185286702187007,2.9673063785434546,3.400130629493484
C,D,extratropics,10,zos,99,9,4000,0.040877691430266615,0.040303447036973944,-0.0005742443932926708,-0.0007619516729057311,-0.0003744829154321583,1.4047867509158984,0.9100080554813463,1.8788387024834552
C,D,extratropics,15,so,99,9,4000,0.0706493965236733,0.06820068057984839,-0.002448715943824911,-0.002737691076439161,-0.0021471758258052504,3.466011125805435,3.0001824570228357,3.912712862915705
C,D,extratropics,15,sst,99,9,4000,0.036875120905261786,0.0374173786258738,0.0005422577206120119,0.0004845481425902288,0.0005991591147825876,-1.4705245902926212,-1.628253058713889,-1.312109152938089
C,D,extratropics,15,thetao,99,9,4000,0.07097977739847569,0.06947991221561364,-0.001499865182862048,-0.0018506479753182905,-0.0011052135487443742,2.11308803413387,1.5531446456487958,2.623969883511581
C,D,extratropics,15,ts,99,9,4000,0.07081477963213748,0.06884326776469822,-0.0019715118674392546,-0.002270790082688497,-0.0016500274192167014,2.7840401081253074,2.308422428993154,3.233263876171659
C,D,extratropics,15,uo,99,9,4000,0.4492056797367466,0.4280254584107849,-0.0211802213259617,-0.021925649626491246,-0.020415278256039955,4.715038629603752,4.572979488397983,4.862198803204408
C,D,extratropics,15,vo,99,9,4000,0.510375455228845,0.4983062610687921,-0.012069194160052865,-0.01310091855566027,-0.011061020195975223,2.364767748214147,2.179437728358114,2.557062962710211
C,D,extratropics,15,zos,99,9,4000,0.04564184925947785,0.04523742037005033,-0.0004044288894275161,-0.0005898739694103312,-0.00022710520588274178,0.8860922508382663,0.49851173254858544,1.2962097625300473
C,D,extratropics,20,so,99,9,4000,0.07156215452632378,0.0691953364667891,-0.0023668180595346755,-0.0026601099048409443,-0.0020651252044087266,3.307359979867641,2.8451501167550606,3.7498109077088686
C,D,extratropics,20,sst,99,9,4000,0.0409024138266816,0.04120639910898649,0.0003039852823048944,0.00022250584705476393,0.0003902350612647619,-0.7431964372395905,-0.9534356433849102,-0.5415449340606113
C,D,extratropics,20,thetao,99,9,4000,0.07228465646039862,0.0707282632838764,-0.0015563931765222305,-0.001891342690401577,-0.0011783750260590975,2.1531445990545794,1.6264516768425867,2.6253900425969325
C,D,extratropics,20,ts,99,9,4000,0.07192431271846568,0.06996599822737284,-0.0019583144910928357,-0.0022568815437381687,-0.001632666725294006,2.722743418846829,2.257757033908263,3.1624110369020215
C,D,extratropics,20,uo,99,9,4000,0.4676329773800835,0.4506489088691734,-0.01698406851091011,-0.017721351046669775,-0.01614399505903609,3.6319227540502874,3.463332838247366,3.786161499088626
C,D,extratropics,20,vo,99,9,4000,0.5424733721751589,0.5323483871551659,-0.010124985019993038,-0.01094313442612182,-0.009364158306477197,1.8664482976177843,1.7328730438294981,2.0104694716556635
C,D,extratropics,20,zos,99,9,4000,0.048678802171033785,0.048171875675730114,-0.0005069264953036709,-0.0007112009896834018,-0.00029826252565074357,1.041370109154649,0.61125606192411,1.449052193274459
C,D,extratropics,25,so,99,9,4000,0.0726176695834928,0.07033204239508155,-0.0022856271884112572,-0.002578982478434895,-0.0019636088672957937,3.1474807736474375,2.669430751540992,3.586308813019499
C,D,extratropics,25,sst,99,9,4000,0.044375093543577875,0.04455978908369466,0.00018469554011678324,8.292061770145964e-05,0.00028632387432779246,-0.41621442428150246,-0.6452240436307084,-0.18745181774679792
C,D,extratropics,25,thetao,99,9,4000,0.07373249559062146,0.0721239942610952,-0.0016085013295262657,-0.001924224208168129,-0.0012523261199386914,2.1815365350672633,1.6854718662443424,2.6236118883169857
C,D,extratropics,25,ts,99,9,4000,0.07317720560993823,0.07123365333758347,-0.001943552272354765,-0.0022310555919212213,-0.0016301161386103541,2.6559531156663985,2.200210660797615,3.069900122056412
C,D,extratropics,25,uo,99,9,4000,0.4842571415655907,0.47010498939991735,-0.014152152165673337,-0.014850236103869482,-0.013370726673935874,2.9224457320174535,2.7590735156983057,3.0587445685951953
C,D,extratropics,25,vo,99,9,4000,0.5703829016110209,0.5611442591973715,-0.009238642413649356,-0.010433169508021894,-0.008075193127295011,1.6197263956467145,1.4136580421033527,1.828029650936186
C,D,extratropics,25,zos,99,9,4000,0.051535397168742635,0.05107774034917574,-0.00045765681956689425,-0.0005790917472449015,-0.0003404528714401755,0.8880436451637053,0.661869549282483,1.125393239222939
C,D,extratropics,30,so,99,9,4000,0.07366571967942037,0.07143490515017219,-0.0022308145292481846,-0.002510677132647396,-0.001906576496584332,3.028293945890004,2.550449068982962,3.448638966681132
C,D,extratropics,30,sst,99,9,4000,0.04756443107509908,0.04766814463987662,0.00010371356477754251,2.8204789271371255e-05,0.0001862194976011006,-0.21804857628549001,-0.39023414336550616,-0.0592851715880044
