region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
global,thetao,9,0.0022907849319182497,0.002720648763092356,0.0013750350640281816,0.002261363562984239,0.9176053140613815,0.550789148380001,A-joint
global,uo,0,0.36340596763330973,0.46828191182766743,0.29813316237856763,0.23542155600700015,0.8809318983908192,0.7227041823716515,A-joint
global,uo,3,0.18470953317366018,0.2631157381952221,0.15178720476397928,0.14425086335203288,0.8378595850388685,0.6885208479098304,A-joint
global,uo,9,0.3182288838836628,0.4154731379599092,0.25978749947288704,0.21412702291166122,0.875181890923704,0.7144584496928951,A-joint
global,vo,0,0.5316933115735325,0.6227195203969733,0.45883819052889147,0.2367364506473381,0.9240263558151796,0.7974119137374308,A-joint
global,vo,3,0.2667386379253351,0.33125217580560795,0.2352236784610388,0.1275434578050488,0.8973535696970562,0.791331953953257,A-joint
global,vo,9,0.5046621376469311,0.5910971056331288,0.4416060054923296,0.21254723433133835,0.9239978167982048,0.808546856442322,A-joint
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,A-joint
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,A-joint
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,A-joint
tropics,so,0,0.0031864266208662738,0.00556262085767442,0.0016906387236679575,0.005367770051869032,0.7568542097802925,0.4015680219486135,A-joint
tropics,so,3,0.00048717938787556843,0.0005817810999804177,6.479771873646032e-05,0.0009393650506972842,0.9150917678873582,0.1217125774803103,A-joint
tropics,so,9,0.0013384159524656737,0.002007177723696619,0.0003368803023572761,0.0026718330734223474,0.8165873313900809,0.20553564577067976,A-joint
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,A-joint
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,A-joint
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,A-joint
tropics,thetao,0,0.004153066675565928,0.005018571690612044,0.002668514564911077,0.003834609231707994,0.9096920211413151,0.5845141909907338,A-joint
tropics,thetao,3,0.0005661389087679612,0.000303547318987435,4.711566227175184e-05,0.00077545490306326,1.3656779613279244,0.11365553683269905,A-joint
tropics,thetao,9,0.0014414800970137054,0.0013055355775087021,0.0004057405212684823,0.001935534629307389,1.0507755757006942,0.2957669902652396,A-joint
tropics,uo,0,0.3422566424027394,0.46313475221316275,0.26141558029611656,0.28256023487849535,0.8596511680144986,0.6566014536959819,A-joint
tropics,uo,3,0.06377715764568241,0.10718101578537353,0.039275475071395505,0.09240722327291613,0.7713893627090871,0.4750397290160741,A-joint
tropics,uo,9,0.24621752653506632,0.351497530172728,0.1764026568780575,0.2449097431669331,0.8369477442529392,0.5996315852571469,A-joint
tropics,vo,0,0.34305661844247076,0.4424643999224074,0.2466893574408097,0.2921423036595217,0.8805291427966944,0.6331816871238996,A-joint
tropics,vo,3,0.08611049258300177,0.13395883679659296,0.058353669442714674,0.10336199096626321,0.8017562477526738,0.5433184464703228,A-joint
tropics,vo,9,0.2966827410949094,0.3895317894673487,0.21680667418699387,0.25260118134458415,0.8727195171112055,0.6377567340273111,A-joint
tropics,zos,0,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0,A-joint
tropics,zos,3,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0,A-joint
tropics,zos,9,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0,A-joint
extratropics,so,0,0.003836741985924932,0.0060622746614476,0.0021051193314252,0.005688777970550368,0.7955426961819877,0.43649333597372475,A-s2718
extratropics,so,3,0.0008740551337244737,0.0009373131444178054,0.00029643442300200857,0.0012184994288570211,0.9656662659798771,0.3275041943275,A-s2718
extratropics,so,9,0.001946746250319863,0.0025095795711831473,0.0007919377201167475,0.002872450379250563,0.8807531157812807,0.35829097622915423,A-s2718
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,A-s2718
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,A-s2718
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,A-s2718
extratropics,thetao,0,0.005626987337812061,0.008439573906043206,0.004285914699190772,0.0054947318584903666,0.8165404590137207,0.6219354239975315,A-s2718
extratropics,thetao,3,0.0013636747136125944,0.0014739693815193037,0.0008709269673748543,0.0010957901618785834,0.961858445709009,0.6143022605046428,A-s2718
extratropics,thetao,9,0.0030211071422969558,0.0035871181333156665,0.00201117345015109,0.0025858783757651497,0.9177200584720606,0.6109330551139698,A-s2718
extratropics,uo,0,0.3786314109153154,0.47577047637965314,0.33129825167742133,0.19180538389259416,0.8920918578255442,0.7805704025421383,A-s2718
extratropics,uo,3,0.2606652656977066,0.35889915138847456,0.22712094645703615,0.16532252384532894,0.8522271512954639,0.7425563075330466,A-s2718
extratropics,uo,9,0.36368943480720295,0.4573543696153804,0.3199476251365782,0.1811485540464417,0.8917413926919976,0.78448949439248,A-s2718
extratropics,vo,0,0.6425598156319091,0.7347522544486924,0.5962035353595053,0.18490500165103024,0.9351608508828408,0.8676954142827127,A-s2718
extratropics,vo,3,0.37559239060906635,0.4512844520607633,0.3472524047420736,0.1323720330203121,0.9122906144455507,0.8434545470320141,A-s2718
extratropics,vo,9,0.6283780252090608,0.7155817991428588,0.5861139182617283,0.17173198694120625,0.9370890252797175,0.8740613107595974,A-s2718
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,A-s2718
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,A-s2718
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,A-s2718
global,so,0,0.0036004034708924893,0.005848825363852453,0.0019260629663853557,0.005597102905983515,0.784587272425988,0.4197208733782265,A-s2718
global,so,3,0.0007312267082154263,0.0008034343685033046,0.00020853255465406304,0.0011175959643578526,0.9540053716380724,0.2720649766567007,A-s2718
global,so,9,0.0017287700404918789,0.0023167754722177142,0.0006174309083857903,0.002810683696380805,0.8638267337649167,0.3085160619538792,A-s2718
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,A-s2718
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,A-s2718
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,A-s2718
global,thetao,0,0.00510316679798225,0.007122614420689051,0.0036548741541087113,0.004916032908199989,0.8464477686182045,0.6062235852351276,A-s2718
global,thetao,3,0.0010756805724451222,0.001031713265675866,0.0005612551334398597,0.0009848835707435802,1.0210856085310438,0.5327692571103385,A-s2718
global,thetao,9,0.0024611001800824554,0.002720648763092356,0.0014083672031961628,0.002365014537024361,0.951104873886807,0.544270778582172,A-s2718
global,uo,0,0.3554275954565046,0.46828191182766743,0.3028121688529445,0.21808516985158977,0.871208051389808,0.7422394966959712,A-s2718
global,uo,3,0.18400445363817536,0.2631157381952221,0.1559924350567221,0.13513532225072283,0.8362589029286641,0.7089505717194275,A-s2718
global,uo,9,0.312457095096873,0.4154731379599092,0.2648012100984795,0.1983278124736288,0.8672088881363605,0.7349423859793266,A-s2718
global,vo,0,0.5162571341924247,0.6227195203969733,0.46341865095035123,0.2121393527283052,0.91051434671803,0.8173239695506783,A-s2718
global,vo,3,0.26312247659775373,0.33125217580560795,0.2383909888945793,0.11759267455676904,0.8912501261216885,0.8074794736877361,A-s2718
global,vo,9,0.4924807572526414,0.5910971056331288,0.4461840982056247,0.19120966762716243,0.9127781103637468,0.8269705405475478,A-s2718
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,A-s2718
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,A-s2718
