reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,extratropics,25,uo,99,9,4000,0.49160152850201416,0.4716930621023798,-0.01990846639963434,-0.02129460993739283,-0.018776370337933168,4.049716130927927,3.843019743191701,4.30894047741314
A-s2718,D-s2718,extratropics,25,vo,99,9,4000,0.576462837845288,0.562850822009608,-0.013612015835679947,-0.014767150174152404,-0.01255616531281129,2.3612997997510377,2.190383382618856,2.5453181921844856
A-s2718,D-s2718,extratropics,25,zos,99,9,4000,0.052174125971508604,0.050821474382629094,-0.001352651588879511,-0.0015976482453750039,-0.0011193243337779826,2.592571631421614,2.1561645539805605,3.0413761622023125
A-s2718,D-s2718,extratropics,30,so,99,9,4000,0.07902878007939285,0.07171572116024022,-0.007313058919152626,-0.008061081745448393,-0.006536776596241957,9.253665451758053,8.178383905022592,10.31138410372961
A-s2718,D-s2718,extratropics,30,sst,99,9,4000,0.04797749869362876,0.04743738904136116,-0.000540109652267598,-0.0006310164412707939,-0.0004533327692083149,1.1257561710680042,0.9510798399731887,1.307712798816797
A-s2718,D-s2718,extratropics,30,thetao,99,9,4000,0.07928921470199533,0.07365231911462987,-0.005636895587365465,-0.006364081584715554,-0.0047071925524475745,7.10928416752703,5.845684387731793,8.145858104913296
A-s2718,D-s2718,extratropics,30,ts,99,9,4000,0.07915910449498577,0.07269046970716518,-0.006468634787820587,-0.007182727698052959,-0.005624473002146565,8.171687677733052,6.98773376537854,9.209842352883637
A-s2718,D-s2718,extratropics,30,uo,99,9,4000,0.5070920464781977,0.4902226379335651,-0.016869408544632647,-0.01821605830518787,-0.01570611024127391,3.3266955500075968,3.1116588323106344,3.573359331603374
A-s2718,D-s2718,extratropics,30,vo,99,9,4000,0.60175562208808,0.5897753331768695,-0.011980288911210502,-0.013055782784884565,-0.010877142329657443,1.990889402850804,1.815786822694445,2.1583204237021856
A-s2718,D-s2718,extratropics,30,zos,99,9,4000,0.05510644858687935,0.05370844781813346,-0.0013980007687458898,-0.0016159918025384645,-0.0011587109189502797,2.5369095715573775,2.1194442274548604,2.9059275140443734
A-s2718,D-s2718,global,0,so,99,9,4000,0.0748137882159517,0.06456776141389076,-0.010246026802060937,-0.011039951906070319,-0.00950181223387411,13.695372265451322,12.543475460902293,14.908408985165554
A-s2718,D-s2718,global,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,global,0,thetao,99,9,4000,0.07011442726080554,0.06139338255426717,-0.008721044706538367,-0.009499597779322369,-0.007866590536031993,12.43830271065124,11.010216720629906,13.775324258652095
A-s2718,D-s2718,global,0,ts,99,9,4000,0.07250219244040851,0.06300056839210147,-0.009501624048307039,-0.010288653670943934,-0.008709067213890687,13.1052920311571,11.824512495138858,14.3818402961986
A-s2718,D-s2718,global,0,uo,99,9,4000,0.4669958991976629,0.40100705023357264,-0.06598884896409024,-0.06808154518862775,-0.0640834651289038,14.130498592699524,13.80029421684372,14.490521234199838
A-s2718,D-s2718,global,0,vo,99,9,4000,0.4605858796470608,0.40643953497093266,-0.054146344676128166,-0.05521814323252568,-0.05304240637299091,11.755971485191774,11.547986202326502,11.942198575918999
A-s2718,D-s2718,global,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,global,5,so,99,9,4000,0.07515447216881047,0.06561429894662323,-0.00954017322218724,-0.010322143948103801,-0.008802317878766952,12.694085856605176,11.558911136761052,13.865306301720462
A-s2718,D-s2718,global,5,sst,99,9,4000,0.02418200104837251,0.023746244505016393,-0.000435756543356116,-0.0005068309929945459,-0.00037316962392084204,1.8019871163037715,1.5357351193272901,2.10428653362553
A-s2718,D-s2718,global,5,thetao,99,9,4000,0.07018004633100693,0.06201441441190539,-0.008165631919101538,-0.008930839999849475,-0.0073158207580652865,11.635261510925787,10.237002581088742,12.929532270353
