model,mode,region,lead_days,variable,normalized_rmse,levels,origins
ar,inferred_persistence,extratropics,30,so,0.08129246149295596,19,99
ar,inferred_persistence,extratropics,30,sst,0.1157499836392319,1,99
ar,inferred_persistence,extratropics,30,thetao,0.09105009766097483,18,99
ar,inferred_persistence,extratropics,30,uo,0.7170893095713314,19,99
ar,inferred_persistence,extratropics,30,vo,0.9744846331357302,19,99
ar,inferred_persistence,extratropics,30,zos,0.0823841140675002,1,99
ar,inferred_persistence,global,5,so,0.07451797205710553,19,99
ar,inferred_persistence,global,5,sst,0.025359535899418674,1,99
ar,inferred_persistence,global,5,thetao,0.07050797169136987,18,99
ar,inferred_persistence,global,5,uo,0.51796314499625,19,99
ar,inferred_persistence,global,5,vo,0.5821319662718687,19,99
ar,inferred_persistence,global,5,zos,0.037565142952707804,1,99
ar,inferred_persistence,global,10,so,0.07530698982758549,19,99
ar,inferred_persistence,global,10,sst,0.04295475688580569,1,99
ar,inferred_persistence,global,10,thetao,0.07282508222750933,18,99
ar,inferred_persistence,global,10,uo,0.5933611394253846,19,99
ar,inferred_persistence,global,10,vo,0.7227772867739282,19,99
ar,inferred_persistence,global,10,zos,0.049552073482523544,1,99
ar,inferred_persistence,global,15,so,0.07636207036648426,19,99
ar,inferred_persistence,global,15,sst,0.05821737364638349,1,99
ar,inferred_persistence,global,15,thetao,0.07557818539434899,18,99
ar,inferred_persistence,global,15,uo,0.6515021023772047,19,99
ar,inferred_persistence,global,15,vo,0.8125387174825519,19,99
ar,inferred_persistence,global,15,zos,0.05745005208217262,1,99
ar,inferred_persistence,global,20,so,0.0775624808596441,19,99
ar,inferred_persistence,global,20,sst,0.07234724371591508,1,99
ar,inferred_persistence,global,20,thetao,0.07852445988822426,18,99
ar,inferred_persistence,global,20,uo,0.6923156393067362,19,99
ar,inferred_persistence,global,20,vo,0.86470611678479,19,99
ar,inferred_persistence,global,20,zos,0.06386472058562741,1,99
ar,inferred_persistence,global,25,so,0.07890745941059482,19,99
ar,inferred_persistence,global,25,sst,0.08624644180141926,1,99
ar,inferred_persistence,global,25,thetao,0.08158165000922037,18,99
ar,inferred_persistence,global,25,uo,0.7254538213464591,19,99
ar,inferred_persistence,global,25,vo,0.8990831320561959,19,99
ar,inferred_persistence,global,25,zos,0.06864108553587987,1,99
ar,inferred_persistence,global,30,so,0.08044139728581874,19,99
ar,inferred_persistence,global,30,sst,0.10027833309935996,1,99
ar,inferred_persistence,global,30,thetao,0.08479310500729652,18,99
ar,inferred_persistence,global,30,uo,0.7565590442291691,19,99
ar,inferred_persistence,global,30,vo,0.934184378377505,19,99
ar,inferred_persistence,global,30,zos,0.0735712606140695,1,99
ar,inferred_persistence,tropics,5,so,0.07392625800605408,19,99
ar,inferred_persistence,tropics,5,sst,0.018933589586011927,1,99
ar,inferred_persistence,tropics,5,thetao,0.06362237373286113,18,99
ar,inferred_persistence,tropics,5,uo,0.566250775247936,19,99
ar,inferred_persistence,tropics,5,vo,0.6505098699339991,19,99
ar,inferred_persistence,tropics,5,zos,0.021562883272816077,1,99
ar,inferred_persistence,tropics,10,so,0.07463935644074278,19,99
ar,inferred_persistence,tropics,10,sst,0.03136079303496169,1,99
ar,inferred_persistence,tropics,10,thetao,0.06539469159837077,18,99
ar,inferred_persistence,tropics,10,uo,0.6518078636804904,19,99
ar,inferred_persistence,tropics,10,vo,0.8001714713233815,19,99
ar,inferred_persistence,tropics,10,zos,0.03241262404471978,1,99
ar,inferred_persistence,tropics,15,so,0.07553794802572403,19,99
ar,inferred_persistence,tropics,15,sst,0.04084892969571453,1,99
ar,inferred_persistence,tropics,15,thetao,0.06737762612041934,18,99
ar,inferred_persistence,tropics,15,uo,0.7177777370456591,19,99
ar,inferred_persistence,tropics,15,vo,0.8698772861559929,19,99
ar,inferred_persistence,tropics,15,zos,0.04045329452842325,1,99
ar,inferred_persistence,tropics,20,so,0.07657143889925296,19,99
ar,inferred_persistence,tropics,20,sst,0.049178220224800374,1,99
ar,inferred_persistence,tropics,20,thetao,0.06937346455885686,18,99
ar,inferred_persistence,tropics,20,uo,0.7578440756385015,19,99
ar,inferred_persistence,tropics,20,vo,0.8783077446382941,19,99
ar,inferred_persistence,tropics,20,zos,0.046399287980373835,1,99
ar,inferred_persistence,tropics,25,so,0.07775903800001643,19,99
ar,inferred_persistence,tropics,25,sst,0.05711229400702502,1,99
ar,inferred_persistence,tropics,25,thetao,0.07130552046371737,18,99
ar,inferred_persistence,tropics,25,uo,0.7892415855781727,19,99
ar,inferred_persistence,tropics,25,vo,0.8632116423686637,19,99
ar,inferred_persistence,tropics,25,zos,0.05079209917889704,1,99
ar,inferred_persistence,tropics,30,so,0.07925078270435956,19,99
ar,inferred_persistence,tropics,30,sst,0.06529417166941172,1,99
ar,inferred_persistence,tropics,30,thetao,0.07343040301252157,18,99
ar,inferred_persistence,tropics,30,uo,0.8238623236875614,19,99
ar,inferred_persistence,tropics,30,vo,0.8691257089770807,19,99
ar,inferred_persistence,tropics,30,zos,0.05505268958723926,1,99
ar,true,extratropics,5,so,0.021424600933307964,19,99
ar,true,extratropics,5,sst,0.02491515778919335,1,99
ar,true,extratropics,5,thetao,0.01775009632352379,18,99
ar,true,extratropics,5,uo,0.21006391805960234,19,99
ar,true,extratropics,5,vo,0.24993470497636758,19,99
ar,true,extratropics,5,zos,0.035456238464085965,1,99
ar,true,extratropics,10,so,0.028283450578115914,19,99
ar,true,extratropics,10,sst,0.03072755483229563,1,99
ar,true,extratropics,10,thetao,0.023849318587395932,18,99
ar,true,extratropics,10,uo,0.29071448405182,19,99
ar,true,extratropics,10,vo,0.3496828475912869,19,99
ar,true,extratropics,10,zos,0.03885064941342381,1,99
ar,true,extratropics,15,so,0.034370978056941635,19,99
ar,true,extratropics,15,sst,0.03645215485933743,1,99
ar,true,extratropics,15,thetao,0.03003743817239301,18,99
ar,true,extratropics,15,uo,0.34176991449593286,19,99
ar,true,extratropics,15,vo,0.41153942678650307,19,99
ar,true,extratropics,15,zos,0.04296464792091293,1,99
ar,true,extratropics,20,so,0.03890921367691603,19,99
ar,true,extratropics,20,sst,0.04045490892579599,1,99
ar,true,extratropics,20,thetao,0.03478215735510552,18,99
ar,true,extratropics,20,uo,0.37836760336347175,19,99
ar,true,extratropics,20,vo,0.45601146067084153,19,99
ar,true,extratropics,20,zos,0.045830590240979206,1,99
ar,true,extratropics,25,so,0.04341476323219876,19,99
ar,true,extratropics,25,sst,0.04393017958649187,1,99
ar,true,extratropics,25,thetao,0.03925666647854013,18,99
