model,mode,region,lead_days,predicted_mean_component_second_moment,target_mean_component_second_moment,second_moment_ratio,rms_amplitude_ratio,levels,origins
direct,climatology,extratropics,10,0.0017667578327631578,0.0033725615134210527,0.5238623004302143,0.723783324227779,19,99
direct,inferred,extratropics,15,0.0025415678779473682,0.003362132192631579,0.7559393064667259,0.8694477019733423,19,99
direct,true,extratropics,15,0.0025839685513157893,0.0033621322373684212,0.7685505414082971,0.8766701440155796,19,99
direct,inferred_persistence,extratropics,15,0.0031731014307894738,0.003362132192631579,0.9437765230479683,0.9714816123056413,19,99
direct,climatology,extratropics,15,0.0017667578532368424,0.0033621322373684212,0.5254873183155055,0.7249050408953613,19,99
direct,inferred,extratropics,20,0.0025958140124210526,0.0033673281407894736,0.770882404057141,0.8779990911482431,19,99
direct,true,extratropics,20,0.0026516599067105263,0.003367328156578947,0.7874670312514159,0.8873933914850932,19,99
direct,inferred_persistence,extratropics,20,0.0031731014307894738,0.0033673281407894736,0.942320230794477,0.9707318016808129,19,99
direct,climatology,extratropics,20,0.0017667578315526315,0.003367328156578947,0.5246764643656167,0.7243455421037784,19,99
direct,inferred,extratropics,25,0.002566393639236842,0.0033642583460526316,0.7628408330317603,0.8734075984508952,19,99
direct,true,extratropics,25,0.0026296345667368424,0.003364258273157895,0.7816387308066302,0.8841033484873984,19,99
direct,inferred_persistence,extratropics,25,0.0031731014307894738,0.0033642583460526316,0.9431800725151066,0.9711745839523945,19,99
direct,climatology,extratropics,25,0.001766754246526316,0.003364258273157895,0.52515416566634,0.7246752139174762,19,99
