index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2,run,climatology_mae,fair_crps,coverage_minmax,calibrated_minmax_reference,calibrated_spread_rmse_reference,specialist_mse,specialist_mae
150,2016-11-23 12:00:00,16,0.001411362729428,0.0016406940965253,0.0020471559487905,0.0028125013526639,0.0203439247713583,0.0317219088356579,0.0002293313963719,0.3767959773540497,0.7060545069493225,0.0014055787650101,0.0016349100150089,0.0028125013526639,diffusion,0.035097921953972086,0.01994890822104988,0.4561401674308172,0.8823529411764706,0.9393364366277243,0.001266891841779935,0.024265036257456473
156,2016-12-23 12:00:00,16,0.0013935018088971,0.0016275544713211,0.0019271905032143,0.0027959497107124,0.02038086244388,0.031106959927635,0.0002340527209732,0.3751023113727569,0.7080696752541877,0.0013536078645788,0.0015876604099043,0.0027959497107124,diffusion,0.034971461699996056,0.019979508668963874,0.4543805181249354,0.8823529411764706,0.9393364366277243,0.001279005645020014,0.024137747049489004
162,2017-01-23 12:00:00,16,0.0012563327167964,0.001491377086607,0.0018196329341755,0.0027929421522618,0.0188460541341404,0.0300985454843212,0.0002350442673494,0.3981492221355438,0.7427486522799953,0.0014410146514801,0.0016760589041923,0.0027929421522618,diffusion,0.035180950747844886,0.01844977216184337,0.4813887537022197,0.8823529411764706,0.9393364366277243,0.001264924694645317,0.023791328524475915
168,2017-02-22 12:00:00,16,0.0013456484438107,0.0015805515928033,0.0018889211837965,0.0027883610238665,0.0193825136253066,0.0303107875039452,0.0002349030026194,0.397972047328949,0.7190248212396891,0.0014104950293767,0.0016453980612707,0.0027883610238665,diffusion,0.035267348854831806,0.018987742758463818,0.4805685593752287,0.8823529411764706,0.9393364366277243,0.0012621193971873916,0.023360233636985497
174,2017-03-24 12:00:00,16,0.0012933809328221,0.0015293078741964,0.001770341950529,0.0027903538065215,0.0187922558797045,0.0293150462369777,0.0002359271170221,0.4006878733634949,0.7321656033331115,0.0014221266598088,0.0016580537182817,0.0027903538065215,diffusion,0.035461478794476024,0.018396960759296376,0.48618507912186715,0.8823529411764706,0.9393364366277243,0.00125914824143414,0.023290841695524735
180,2017-04-23 12:00:00,16,0.0013671552268382,0.0015936457837808,0.0018691067086155,0.002832118633933,0.0192166183917247,0.0299227272883968,0.0002264905423053,0.3958439826965332,0.7189667321836087,0.0014419558894036,0.0016684464463462,0.002832118633933,diffusion,0.03549180283521546,0.018827821122205723,0.4781544197225003,0.8823529411764706,0.9393364366277243,0.0012265754397359694,0.023103171076936668
186,2017-05-23 12:00:00,16,0.0012842389340758,0.0015124257802147,0.0018580615075838,0.0028165951170087,0.019119967259047,0.0306445673189907,0.0002281869193254,0.3983565866947174,0.7375154977030539,0.0015044752589343,0.0017326621050732,0.0028165951170087,diffusion,0.035273615078858525,0.018724582070276517,0.47926122271002214,0.8823529411764706,0.9393364366277243,0.001205508389729925,0.02305616948859559
192,2017-06-22 12:00:00,16,0.0012280004950923,0.0014527252063164,0.001799714124211,0.0027506433555879,0.0185428357749994,0.0297064880797355,0.0002247246234001,0.3966616690158844,0.7452412746488257,0.0015535991429893,0.0017783236200163,0.0027506433555879,diffusion,0.03510724006019649,0.01815035675423454,0.4807905570505113,0.8823529411764706,0.9393364366277243,0.001154060712841001,0.022469293355003812
198,2017-07-22 12:00:00,16,0.00119680872747,0.0014205205364748,0.0017394500722226,0.0028600349216854,0.0184600189320732,0.0292581979133128,0.0002237117504556,0.3965885937213897,0.7628476903589203,0.0016909706984353,0.0019146823903416,0.0028600349216854,diffusion,0.035291839233279075,0.018067342358045,0.48128621218825174,0.8823529411764706,0.9393364366277243,0.0011458879927412,0.022407048762240624
204,2017-08-21 12:00:00,16,0.0012677588393216,0.0014954062125675,0.0018343885189895,0.0028817056426443,0.0189158992664432,0.0299993026514151,0.0002276474757071,0.4139943122863769,0.7479340387749831,0.0015911897593709,0.0018188371326169,0.0028817056426443,diffusion,0.03502047450155283,0.018520619144184427,0.4956921039103577,0.8823529411764706,0.9393364366277243,0.0011830900578533208,0.02287446228148685
210,2017-09-20 12:00:00,16,0.0013062103640404,0.0015335018748766,0.0018877719788971,0.0029210392705326,0.0194428584986681,0.0303485402014622,0.0002272913937376,0.401050865650177,0.7439891705902962,0.0014898932141305,0.0017171844907697,0.0029210392705326,diffusion,0.03557655776356969,0.01905001697138371,0.47995835368806183,0.8823529411764706,0.9393364366277243,0.0012600949097480618,0.023666799142946886
216,2017-10-20 12:00:00,16,0.0013157917164429,0.001547503111009,0.0018985856761499,0.0030164464626849,0.019242115332504,0.0301846501671396,0.0002317113360168,0.4060916006565094,0.7521879417800994,0.001630920936743,0.0018626322142106,0.0030164464626849,diffusion,0.036317060668236596,0.018845016431656245,0.48881418084101824,0.8823529411764706,0.9393364366277243,0.0012671231086167378,0.02375638675942293
222,2017-11-19 12:00:00,16,0.0012724177211358,0.0015045497335946,0.0018450374586212,0.0029806520205391,0.0192169988247857,0.0301737919735221,0.000232132071008,0.4025613367557525,0.7593286336191675,0.0015291826958759,0.0017613147083347,0.0029806520205391,diffusion,0.03612370323053153,0.018819085487045688,0.4816923315946724,0.8823529411764706,0.9393364366277243,0.001261848111793407,0.0238748559167668
228,2017-12-19 12:00:00,16,0.0013402579304282,0.001578447800749,0.0019502898261471,0.0029720996128533,0.0201034118198848,0.0313141638510963,0.0002381898556834,0.3773410320281982,0.7436962042920514,0.0014410616079876,0.0016792513612098,0.0029720996128533,diffusion,0.036086394632095085,0.01970177637966203,0.45725218776846077,0.8823529411764706,0.9393364366277243,0.0012909869684032754,0.024142867451870772
234,2018-01-18 12:00:00,16,0.0012999202998084,0.001532161213893,0.0018743597483326,0.0030311641075777,0.0193708139877311,0.0302893564415058,0.0002322408994473,0.3851818144321441,0.7578111064212012,0.0015309022876781,0.0017631433188613,0.0030311641075777,diffusion,0.036428383979989314,0.018973474313532666,0.46467253772715367,0.8823529411764706,0.9393364366277243,0.0012593883630884362,0.02360673869506868
240,2018-02-17 12:00:00,16,0.0013952407219555,0.0016352818028176,0.0019415967831359,0.0030330721109025,0.0195829675038304,0.0305299380822821,0.0002400410954994,0.3972294628620147,0.7363030161688102,0.0014757771043476,0.0017158183023083,0.0030330721109025,diffusion,0.036232318452302854,0.01918267144123444,0.4783775906273604,0.8823529411764706,0.9393364366277243,0.001287811808268866,0.023545506679881485
246,2018-03-19 12:00:00,16,0.0014096385707835,0.0016478968266413,0.0020291871805204,0.0030115386294119,0.0200082692099701,0.0315534271856401,0.0002382583436817,0.3868707418441772,0.7311299349930638,0.0013677664811254,0.0016060249711803,0.0030115386294119,diffusion,0.036167155811036085,0.019611317950328652,0.4710110788565771,0.8823529411764706,0.9393364366277243,0.0013048210951912722,0.02407819024046717
252,2018-04-18 12:00:00,16,0.0013994461982908,0.0016372105325809,0.0019834414717397,0.0030061839481773,0.0200106376699648,0.0311677103320719,0.0002377642318289,0.3807756304740906,0.7340122302657066,0.0013503118924674,0.001588076109659,0.0030061839481773,diffusion,0.03605659615631485,0.019618043382436345,0.4596172902439548,0.8823529411764706,0.9393364366277243,0.0013218054288912857,0.02412156663762667
258,2018-05-18 12:00:00,16,0.0014094048421326,0.0016360785411644,0.0019982080638148,0.0030019229671423,0.0199974215839375,0.0309437277254804,0.0002266736990317,0.3880923092365265,0.7313228384032444,0.0013068257167758,0.0015334992987091,0.0030019229671423,diffusion,0.03610809951115531,0.019610688398155385,0.4682290553862458,0.8823529411764706,0.9393364366277243,0.0013320716761603217,0.024299238192935037
264,2018-06-17 12:00:00,16,0.0014023943877905,0.0016328941639449,0.001969929239037,0.0029488087167378,0.020232317863968,0.0310327675550408,0.0002304998639782,0.3629555404186249,0.7252468659535274,0.0013497019262639,0.0015802018195167,0.0029488087167378,diffusion,0.03574690537300832,0.01984081706412389,0.4412896774637147,0.8823529411764706,0.9393364366277243,0.0013555237434246536,0.02419325367772253
270,2018-07-17 12:00:00,16,0.0014383703326461,0.001660707756293,0.001982686654664,0.0029245320852603,0.0197298265539302,0.0304250442332816,0.0002223376285692,0.3873327076435089,0.7134681524293348,0.0013294819388997,0.0015518197138421,0.0029245320852603,diffusion,0.035558245750445534,0.019340559597480586,0.4695977598910872,0.8823529411764706,0.9393364366277243,0.0013749216714623509,0.024296072251736443
