run,date,rank,weight,calibrated_reference
diffusion,2018-02-17 12:00:00,4,0.029178818624529868,0.058823529411764705
diffusion,2018-02-17 12:00:00,5,0.024860141378269418,0.058823529411764705
diffusion,2018-02-17 12:00:00,6,0.022368204140377657,0.058823529411764705
diffusion,2018-02-17 12:00:00,7,0.023291839864668873,0.058823529411764705
diffusion,2018-02-17 12:00:00,8,0.024374527730060436,0.058823529411764705
diffusion,2018-02-17 12:00:00,9,0.022767089932813178,0.058823529411764705
diffusion,2018-02-17 12:00:00,10,0.02367737860458874,0.058823529411764705
diffusion,2018-02-17 12:00:00,11,0.02357987853730492,0.058823529411764705
diffusion,2018-02-17 12:00:00,12,0.027889323348290418,0.058823529411764705
diffusion,2018-02-17 12:00:00,13,0.030927061446391235,0.058823529411764705
diffusion,2018-02-17 12:00:00,14,0.035758862458465046,0.058823529411764705
diffusion,2018-02-17 12:00:00,15,0.0512579425947024,0.058823529411764705
diffusion,2018-02-17 12:00:00,16,0.2317513853059836,0.058823529411764705
diffusion,2018-03-19 12:00:00,0,0.2785142278597732,0.058823529411764705
diffusion,2018-03-19 12:00:00,1,0.0650696711639398,0.058823529411764705
diffusion,2018-03-19 12:00:00,2,0.04077210975077605,0.058823529411764705
diffusion,2018-03-19 12:00:00,3,0.03391239531475776,0.058823529411764705
diffusion,2018-03-19 12:00:00,4,0.030785589666720625,0.058823529411764705
diffusion,2018-03-19 12:00:00,5,0.027045714768121343,0.058823529411764705
diffusion,2018-03-19 12:00:00,6,0.0233626550639201,0.058823529411764705
diffusion,2018-03-19 12:00:00,7,0.024549883869610767,0.058823529411764705
diffusion,2018-03-19 12:00:00,8,0.022762079908261512,0.058823529411764705
diffusion,2018-03-19 12:00:00,9,0.02214135341449719,0.058823529411764705
diffusion,2018-03-19 12:00:00,10,0.02226323999127544,0.058823529411764705
diffusion,2018-03-19 12:00:00,11,0.023359819178040198,0.058823529411764705
diffusion,2018-03-19 12:00:00,12,0.025606580262774514,0.058823529411764705
diffusion,2018-03-19 12:00:00,13,0.027929118155498145,0.058823529411764705
diffusion,2018-03-19 12:00:00,14,0.03296513460600181,0.058823529411764705
diffusion,2018-03-19 12:00:00,15,0.048485733742381854,0.058823529411764705
diffusion,2018-03-19 12:00:00,16,0.25047470337221966,0.058823529411764705
diffusion,2018-04-18 12:00:00,0,0.2943182853535973,0.058823529411764705
diffusion,2018-04-18 12:00:00,1,0.061288750126493596,0.058823529411764705
diffusion,2018-04-18 12:00:00,2,0.04026318751743929,0.058823529411764705
diffusion,2018-04-18 12:00:00,3,0.0324692618271456,0.058823529411764705
diffusion,2018-04-18 12:00:00,4,0.02881868385884445,0.058823529411764705
diffusion,2018-04-18 12:00:00,5,0.026805686909710857,0.058823529411764705
diffusion,2018-04-18 12:00:00,6,0.023233583302328498,0.058823529411764705
diffusion,2018-04-18 12:00:00,7,0.02317431276804882,0.058823529411764705
diffusion,2018-04-18 12:00:00,8,0.02309133094468052,0.058823529411764705
diffusion,2018-04-18 12:00:00,9,0.02044108457425864,0.058823529411764705
diffusion,2018-04-18 12:00:00,10,0.023037852259562897,0.058823529411764705
diffusion,2018-04-18 12:00:00,11,0.022538722284025425,0.058823529411764705
diffusion,2018-04-18 12:00:00,12,0.02387819996528151,0.058823529411764705
diffusion,2018-04-18 12:00:00,13,0.028073406524526945,0.058823529411764705
diffusion,2018-04-18 12:00:00,14,0.03433016311396386,0.058823529411764705
diffusion,2018-04-18 12:00:00,15,0.048173064267643895,0.058823529411764705
diffusion,2018-04-18 12:00:00,16,0.2460644344910179,0.058823529411764705
diffusion,2018-05-18 12:00:00,0,0.2799481023014323,0.058823529411764705
diffusion,2018-05-18 12:00:00,1,0.06124677995512684,0.058823529411764705
diffusion,2018-05-18 12:00:00,2,0.042150690293340176,0.058823529411764705
diffusion,2018-05-18 12:00:00,3,0.03371485182151446,0.058823529411764705
diffusion,2018-05-18 12:00:00,4,0.027703450328885992,0.058823529411764705
diffusion,2018-05-18 12:00:00,5,0.026025425853674733,0.058823529411764705
diffusion,2018-05-18 12:00:00,6,0.02413097593949942,0.058823529411764705
diffusion,2018-05-18 12:00:00,7,0.02169182220040966,0.058823529411764705
diffusion,2018-05-18 12:00:00,8,0.022704425347853885,0.058823529411764705
diffusion,2018-05-18 12:00:00,9,0.022438228857936338,0.058823529411764705
diffusion,2018-05-18 12:00:00,10,0.023940862796166584,0.058823529411764705
diffusion,2018-05-18 12:00:00,11,0.02476580775100956,0.058823529411764705
diffusion,2018-05-18 12:00:00,12,0.0247670779440341,0.058823529411764705
diffusion,2018-05-18 12:00:00,13,0.029022221873674425,0.058823529411764705
diffusion,2018-05-18 12:00:00,14,0.035326051416177506,0.058823529411764705
diffusion,2018-05-18 12:00:00,15,0.04860038300694214,0.058823529411764705
diffusion,2018-05-18 12:00:00,16,0.25182285240089186,0.058823529411764705
diffusion,2018-06-17 12:00:00,0,0.29670721535478606,0.058823529411764705
diffusion,2018-06-17 12:00:00,1,0.05886605722622562,0.058823529411764705
diffusion,2018-06-17 12:00:00,2,0.039416213697279545,0.058823529411764705
diffusion,2018-06-17 12:00:00,3,0.03264929289235852,0.058823529411764705
diffusion,2018-06-17 12:00:00,4,0.025575229093135476,0.058823529411764705
diffusion,2018-06-17 12:00:00,5,0.024597186223843437,0.058823529411764705
diffusion,2018-06-17 12:00:00,6,0.024758462311240237,0.058823529411764705
diffusion,2018-06-17 12:00:00,7,0.02193598253654727,0.058823529411764705
diffusion,2018-06-17 12:00:00,8,0.021777903792212783,0.058823529411764705
diffusion,2018-06-17 12:00:00,9,0.021583144887244998,0.058823529411764705
diffusion,2018-06-17 12:00:00,10,0.020822946056341607,0.058823529411764705
diffusion,2018-06-17 12:00:00,11,0.021145141743545537,0.058823529411764705
diffusion,2018-06-17 12:00:00,12,0.024523167598545115,0.058823529411764705
diffusion,2018-06-17 12:00:00,13,0.025335546966744005,0.058823529411764705
diffusion,2018-06-17 12:00:00,14,0.030875575541358558,0.058823529411764705
diffusion,2018-06-17 12:00:00,15,0.04742782689709202,0.058823529411764705
diffusion,2018-06-17 12:00:00,16,0.2620031172700692,0.058823529411764705
diffusion,2018-07-17 12:00:00,0,0.2615117696543052,0.058823529411764705
diffusion,2018-07-17 12:00:00,1,0.06156624080989559,0.058823529411764705
diffusion,2018-07-17 12:00:00,2,0.04249477507113397,0.058823529411764705
diffusion,2018-07-17 12:00:00,3,0.03364832202703383,0.058823529411764705
diffusion,2018-07-17 12:00:00,4,0.03019506271488126,0.058823529411764705
diffusion,2018-07-17 12:00:00,5,0.026371156577567945,0.058823529411764705
diffusion,2018-07-17 12:00:00,6,0.02450191347799091,0.058823529411764705
diffusion,2018-07-17 12:00:00,7,0.023761608179711402,0.058823529411764705
diffusion,2018-07-17 12:00:00,8,0.022958476698249797,0.058823529411764705
diffusion,2018-07-17 12:00:00,9,0.021025792594514314,0.058823529411764705
diffusion,2018-07-17 12:00:00,10,0.022696118143812782,0.058823529411764705
diffusion,2018-07-17 12:00:00,11,0.02299746784819945,0.058823529411764705
diffusion,2018-07-17 12:00:00,12,0.024671484360169416,0.058823529411764705
diffusion,2018-07-17 12:00:00,13,0.028886128241538245,0.058823529411764705
diffusion,2018-07-17 12:00:00,14,0.03351723389005201,0.058823529411764705
diffusion,2018-07-17 12:00:00,15,0.050305979256336286,0.058823529411764705
diffusion,2018-07-17 12:00:00,16,0.26889048054317755,0.058823529411764705
diffusion,2018-08-16 12:00:00,0,0.2554546491872429,0.058823529411764705
diffusion,2018-08-16 12:00:00,1,0.06042879481572072,0.058823529411764705
diffusion,2018-08-16 12:00:00,2,0.0421409921839313,0.058823529411764705
diffusion,2018-08-16 12:00:00,3,0.03369964338844511,0.058823529411764705
diffusion,2018-08-16 12:00:00,4,0.028963153069980763,0.058823529411764705
diffusion,2018-08-16 12:00:00,5,0.025466993758811896,0.058823529411764705
diffusion,2018-08-16 12:00:00,6,0.025719197162118235,0.058823529411764705
diffusion,2018-08-16 12:00:00,7,0.02371284127985973,0.058823529411764705
diffusion,2018-08-16 12:00:00,8,0.022580225300771417,0.058823529411764705
diffusion,2018-08-16 12:00:00,9,0.02263406008989932,0.058823529411764705
diffusion,2018-08-16 12:00:00,10,0.023629711179637525,0.058823529411764705
diffusion,2018-08-16 12:00:00,11,0.023790510335174986,0.058823529411764705
diffusion,2018-08-16 12:00:00,12,0.02566517368586574,0.058823529411764705
diffusion,2018-08-16 12:00:00,13,0.029696137951873425,0.058823529411764705
diffusion,2018-08-16 12:00:00,14,0.034810553179340786,0.058823529411764705
diffusion,2018-08-16 12:00:00,15,0.049464599741099846,0.058823529411764705
diffusion,2018-08-16 12:00:00,16,0.27214277377879625,0.058823529411764705
diffusion,2018-09-15 12:00:00,0,0.31055533039182137,0.058823529411764705
diffusion,2018-09-15 12:00:00,1,0.06052921775045661,0.058823529411764705
diffusion,2018-09-15 12:00:00,2,0.03968409103833892,0.058823529411764705
diffusion,2018-09-15 12:00:00,3,0.031398407974222664,0.058823529411764705
diffusion,2018-09-15 12:00:00,4,0.027660721036227187,0.058823529411764705
diffusion,2018-09-15 12:00:00,5,0.024810157347928907,0.058823529411764705
diffusion,2018-09-15 12:00:00,6,0.022335975512930872,0.058823529411764705
