run,field,zonal_wavenumber,power
deterministic,sample0,138,3.6516583005572063e-07
deterministic,sample0,139,3.528959815006792e-07
deterministic,sample0,140,3.4436715687627434e-07
deterministic,sample0,141,3.2874775130863093e-07
deterministic,sample0,142,3.165944292091149e-07
deterministic,sample0,143,3.0459156108055845e-07
deterministic,sample0,144,3.045667664458909e-07
deterministic,sample0,145,2.9877843344316035e-07
deterministic,sample0,146,2.8449984824006467e-07
deterministic,sample0,147,2.7556107524879904e-07
deterministic,sample0,148,2.703255801353449e-07
deterministic,sample0,149,2.6400595298144074e-07
deterministic,sample0,150,2.5894215270512336e-07
deterministic,sample0,151,2.4553550739028024e-07
deterministic,sample0,152,2.4828832095057304e-07
deterministic,sample0,153,2.3883480601025926e-07
deterministic,sample0,154,2.3401941775243483e-07
deterministic,sample0,155,2.2939639120871716e-07
deterministic,sample0,156,2.2661028075775364e-07
deterministic,sample0,157,2.2319607250687675e-07
deterministic,sample0,158,2.1505503969408392e-07
deterministic,sample0,159,2.0380511754244516e-07
deterministic,sample0,160,1.9960579489301044e-07
deterministic,sample0,161,2.0081758300447328e-07
deterministic,sample0,162,1.968951165448112e-07
deterministic,sample0,163,1.9373254228924535e-07
deterministic,sample0,164,1.8866256716516308e-07
deterministic,sample0,165,1.8775349562740956e-07
deterministic,sample0,166,1.854299663826674e-07
deterministic,sample0,167,1.843359924589265e-07
deterministic,sample0,168,1.797156452767097e-07
deterministic,sample0,169,1.735828140230068e-07
deterministic,sample0,170,1.7281408762646086e-07
deterministic,sample0,171,1.721816415494576e-07
deterministic,sample0,172,1.7108336961358647e-07
deterministic,sample0,173,1.6626445940806666e-07
deterministic,sample0,174,1.711493310734296e-07
deterministic,sample0,175,1.630657928191555e-07
deterministic,sample0,176,1.60860487474717e-07
deterministic,sample0,177,1.6406809578009914e-07
deterministic,sample0,178,1.6235110339275642e-07
deterministic,sample0,179,1.655018178358803e-07
deterministic,sample0,180,1.650504499135956e-07
deterministic,specialist,0,5.083352390184082e-05
deterministic,specialist,1,4.3430673330677024e-05
deterministic,specialist,2,3.559334319911247e-05
deterministic,specialist,3,1.9632307962212295e-05
deterministic,specialist,4,1.672911065537841e-05
deterministic,specialist,5,1.287622157966897e-05
deterministic,specialist,6,1.2717054483312686e-05
deterministic,specialist,7,1.075413727721483e-05
deterministic,specialist,8,8.491759632673162e-06
deterministic,specialist,9,8.275484131338552e-06
deterministic,specialist,10,7.581777257459695e-06
deterministic,specialist,11,6.911550626342985e-06
deterministic,specialist,12,6.1255956450885594e-06
deterministic,specialist,13,5.305424754053596e-06
deterministic,specialist,14,4.906009625600936e-06
deterministic,specialist,15,4.706294815360991e-06
deterministic,specialist,16,4.756167647612338e-06
deterministic,specialist,17,4.302807910080489e-06
deterministic,specialist,18,4.481270856419193e-06
deterministic,specialist,19,4.18089986227056e-06
deterministic,specialist,20,3.935966775776558e-06
deterministic,specialist,21,4.080491290998019e-06
deterministic,specialist,22,3.8585981728598294e-06
deterministic,specialist,23,3.6714742873408185e-06
deterministic,specialist,24,3.4690897270843146e-06
deterministic,specialist,25,3.3536226194211185e-06
deterministic,specialist,26,3.4322385983242586e-06
deterministic,specialist,27,3.116865908963912e-06
deterministic,specialist,28,3.2478496380084287e-06
deterministic,specialist,29,3.102975408979792e-06
deterministic,specialist,30,3.1494274877883367e-06
deterministic,specialist,31,2.8433466821094135e-06
deterministic,specialist,32,2.9577781926519748e-06
deterministic,specialist,33,2.967809611912023e-06
deterministic,specialist,34,2.946357400997252e-06
deterministic,specialist,35,2.7375698265692416e-06
deterministic,specialist,36,2.884944185511637e-06
deterministic,specialist,37,2.9504172816933736e-06
deterministic,specialist,38,2.826256799686007e-06
deterministic,specialist,39,2.8382754322034334e-06
deterministic,specialist,40,2.6572083666665127e-06
deterministic,specialist,41,2.7713797971190053e-06
deterministic,specialist,42,2.631191839860957e-06
deterministic,specialist,43,2.577606033324445e-06
deterministic,specialist,44,2.5178623035784462e-06
deterministic,specialist,45,2.456487260065019e-06
deterministic,specialist,46,2.6091542200470043e-06
deterministic,specialist,47,2.604962968251678e-06
deterministic,specialist,48,2.532623811167249e-06
deterministic,specialist,49,2.4574844735857725e-06
deterministic,specialist,50,2.4428482906180386e-06
deterministic,specialist,51,2.4075807622108425e-06
deterministic,specialist,52,2.3486133911235692e-06
deterministic,specialist,53,2.319846719458687e-06
deterministic,specialist,54,2.379171834448747e-06
deterministic,specialist,55,2.3766578847223253e-06
deterministic,specialist,56,2.2141155206890385e-06
deterministic,specialist,57,2.242805995092489e-06
deterministic,specialist,58,2.337824202535003e-06
deterministic,specialist,59,2.3127465638807096e-06
deterministic,specialist,60,2.2575800759507136e-06
deterministic,specialist,61,2.161297194035054e-06
deterministic,specialist,62,2.3193928290818974e-06
deterministic,specialist,63,2.2169859797366093e-06
deterministic,specialist,64,2.2221032850370287e-06
deterministic,specialist,65,2.1156734904583724e-06
