candidate,reader,workload,median_wall_seconds,median_process_cpu_seconds,byte_metrics_valid
C,tensorstore,halo_32_784,0.23860689788125455,0.49381591299999883,False
C,tensorstore,union_1472,0.7357396248262376,1.515649046,False
C,tensorstore,misaligned_720,0.20702385087497532,0.4027765820000013,False
C,tensorstore,shallow_17_halo,0.08744186093099415,0.2470757540000008,False
C,tensorstore,point_series,0.0029392619617283344,0.01919133500000214,False
C,tensorstore,pair_aligned,0.377363339997828,0.6978520910000015,False
C,tensorstore,pair_offset,0.37381101422943175,0.7141349489999982,False
C,tensorstore,independent_four_752,0.7574332789517939,1.7331486289999987,False
D,zarr-python,aligned_720,0.24428317486308515,,False
D,zarr-python,halo_16_752,0.2895727299619466,,False
D,zarr-python,halo_32_784,0.29828269011341035,,False
D,zarr-python,union_1472,1.0619574100710452,,False
D,zarr-python,misaligned_720,0.24523316510021687,,False
D,zarr-python,shallow_17_halo,0.08880988601595163,,False
D,zarr-python,point_series,0.006647104863077402,,False
D,zarr-python,pair_aligned,0.4708393339533359,,False
D,zarr-python,pair_offset,0.4916798349004239,,False
D,zarr-python,independent_four_752,1.0007235151715577,,False
D,zarrs,aligned_720,0.18955484009347856,0.35363437899999894,False
D,zarrs,halo_16_752,0.3081453889608383,0.4761857660000004,False
D,zarrs,halo_32_784,0.3205651240423322,0.4729913950000011,False
D,zarrs,union_1472,1.118706604000181,1.556409561999999,False
D,zarrs,misaligned_720,0.2691912411246449,0.37850820000000596,False
D,zarrs,shallow_17_halo,0.0976865398697555,0.1506982619999988,False
D,zarrs,point_series,0.0027365980204194784,0.007591046000001711,False
D,zarrs,pair_aligned,0.4788373208139092,0.6507630520000021,False
D,zarrs,pair_offset,0.5277403981890529,0.7045759370000013,False
D,zarrs,independent_four_752,1.1273092089686543,1.7003868170000018,False
D,tensorstore,aligned_720,0.17553407605737448,0.34983319700000237,False
D,tensorstore,halo_16_752,0.19504027301445603,0.4087737340000004,False
D,tensorstore,halo_32_784,0.20696381316520274,0.44778408599999864,False
D,tensorstore,union_1472,0.7197098368778825,1.464069148,False
D,tensorstore,misaligned_720,0.16608829284086823,0.3581931319999967,False
D,tensorstore,shallow_17_halo,0.05831704894080758,0.15319310299999955,False
D,tensorstore,point_series,0.001284038182348013,0.007544741000003796,False
D,tensorstore,pair_aligned,0.3464597868733108,0.6721036819999995,False
D,tensorstore,pair_offset,0.3520495519042015,0.7068547439999975,False
D,tensorstore,independent_four_752,0.6999953298363835,1.5782839959999961,False
E,zarr-python,aligned_720,0.24310426297597587,,False
E,zarr-python,halo_16_752,0.2904477238189429,,False
E,zarr-python,halo_32_784,0.3081964801531285,,False
E,zarr-python,union_1472,1.088807611959055,,False
E,zarr-python,misaligned_720,0.23079622187651694,,False
E,zarr-python,shallow_17_halo,0.08975533512420952,,False
E,zarr-python,point_series,0.004205329110845923,,False
E,zarr-python,pair_aligned,0.5115540239494294,,False
E,zarr-python,pair_offset,0.4928701790049672,,False
E,zarr-python,independent_four_752,1.0299617948476225,,False
E,zarrs,aligned_720,0.18454137817025185,0.33774967499999775,False
E,zarrs,halo_16_752,0.32714358414523304,0.4906031430000013,False
