candidate,reader,workload,trial,wall_seconds,process_cpu_seconds,byte_metrics_valid,observed_data_returned_bytes,observed_data_calls,observed_unique_data_objects
C,zarrs,pair_offset,0,0.5135673210024834,0.6738372780000006,False,,,
C,zarrs,pair_offset,1,0.5375291029922664,0.6857912169999949,False,,,
C,zarrs,pair_offset,2,0.5413856150116771,0.6956866339999976,False,,,
C,zarrs,independent_four_752,0,1.0820226569194347,1.6331841029999978,False,,,
C,zarrs,independent_four_752,1,1.0730953318998218,1.6357274639999986,False,,,
C,zarrs,independent_four_752,2,1.1054726541042328,1.6787070789999987,False,,,
C,tensorstore,aligned_720,0,0.1948920739814639,0.3939280949999997,False,,,
C,tensorstore,aligned_720,1,0.19152573309838772,0.389319528999998,False,,,
C,tensorstore,aligned_720,2,0.19518104894086719,0.3974820199999982,False,,,
C,tensorstore,halo_16_752,0,0.21486887708306313,0.46043273899999804,False,,,
C,tensorstore,halo_16_752,1,0.21058328007347882,0.4529121169999968,False,,,
C,tensorstore,halo_16_752,2,0.21716833300888538,0.4491975460000006,False,,,
C,tensorstore,halo_32_784,0,0.23860689788125455,0.49381591299999883,False,,,
C,tensorstore,halo_32_784,1,0.2377844408620149,0.4896055660000016,False,,,
C,tensorstore,halo_32_784,2,0.2610889100469649,0.5621365499999982,False,,,
C,tensorstore,union_1472,0,0.7357396248262376,1.4754580449999963,False,,,
C,tensorstore,union_1472,1,0.739996001124382,1.5185550619999972,False,,,
C,tensorstore,union_1472,2,0.7355967140756547,1.515649046,False,,,
C,tensorstore,misaligned_720,0,0.20702385087497532,0.4027765820000013,False,,,
C,tensorstore,misaligned_720,1,0.21998660708777606,0.5270439720000013,False,,,
C,tensorstore,misaligned_720,2,0.19281208515167236,0.3930275119999962,False,,,
C,tensorstore,shallow_17_halo,0,0.08567270310595632,0.24516419399999734,False,,,
C,tensorstore,shallow_17_halo,1,0.08744186093099415,0.2620173099999974,False,,,
C,tensorstore,shallow_17_halo,2,0.08769229403696954,0.2470757540000008,False,,,
C,tensorstore,point_series,0,0.003524082014337182,0.019931759000002103,False,,,
C,tensorstore,point_series,1,0.0029392619617283344,0.018737277999996138,False,,,
C,tensorstore,point_series,2,0.002860597800463438,0.01919133500000214,False,,,
C,tensorstore,pair_aligned,0,0.377363339997828,0.5932199520000054,False,,,
C,tensorstore,pair_aligned,1,0.37722814502194524,0.6978520910000015,False,,,
C,tensorstore,pair_aligned,2,0.3789468798786402,0.7415150150000045,False,,,
C,tensorstore,pair_offset,0,0.37177220708690584,0.7141349489999982,False,,,
C,tensorstore,pair_offset,1,0.37381101422943175,0.7126329569999967,False,,,
C,tensorstore,pair_offset,2,0.39551318902522326,0.8311299480000045,False,,,
C,tensorstore,independent_four_752,0,0.7665207870304585,1.7668425740000018,False,,,
C,tensorstore,independent_four_752,1,0.7574332789517939,1.7323998760000023,False,,,
C,tensorstore,independent_four_752,2,0.7438202069606632,1.7331486289999987,False,,,
D,zarr-python,aligned_720,0,0.2860514409840107,,False,6916,1,1
D,zarr-python,aligned_720,1,0.24428317486308515,,False,6916,1,1
D,zarr-python,aligned_720,2,0.2440297279972583,,False,6916,1,1
D,zarr-python,halo_16_752,0,0.29512141295708716,,False,27664,4,4
D,zarr-python,halo_16_752,1,0.2798353601247072,,False,27664,4,4
D,zarr-python,halo_16_752,2,0.2895727299619466,,False,27664,4,4
D,zarr-python,halo_32_784,0,0.3199380759615451,,False,27664,4,4
D,zarr-python,halo_32_784,1,0.29828269011341035,,False,27664,4,4
D,zarr-python,halo_32_784,2,0.28522632690146565,,False,27664,4,4
D,zarr-python,union_1472,0,1.0780689909588546,,False,27664,4,4
D,zarr-python,union_1472,1,1.0220577691216022,,False,27664,4,4
D,zarr-python,union_1472,2,1.0619574100710452,,False,27664,4,4
D,zarr-python,misaligned_720,0,0.2397967530414462,,False,27664,4,4
D,zarr-python,misaligned_720,1,0.24523316510021687,,False,27664,4,4
D,zarr-python,misaligned_720,2,0.24983676988631487,,False,27664,4,4
D,zarr-python,shallow_17_halo,0,0.09026537300087512,,False,27664,4,4
D,zarr-python,shallow_17_halo,1,0.08880988601595163,,False,27664,4,4
D,zarr-python,shallow_17_halo,2,0.08570023998618126,,False,27664,4,4
D,zarr-python,point_series,0,0.007706769043579698,,False,55328,8,8
D,zarr-python,point_series,1,0.006106946850195527,,False,55328,8,8
D,zarr-python,point_series,2,0.006647104863077402,,False,55328,8,8
D,zarr-python,pair_aligned,0,0.4823010079562664,,False,13832,2,2
D,zarr-python,pair_aligned,1,0.4708393339533359,,False,13832,2,2
D,zarr-python,pair_aligned,2,0.4545123348943889,,False,13832,2,2
D,zarr-python,pair_offset,0,0.5066217279527336,,False,13832,2,2
D,zarr-python,pair_offset,1,0.4916798349004239,,False,13832,2,2
D,zarr-python,pair_offset,2,0.4910789169371128,,False,13832,2,2
D,zarr-python,independent_four_752,0,1.0007235151715577,,False,110656,16,4
D,zarr-python,independent_four_752,1,0.9984496277756989,,False,110656,16,4
D,zarr-python,independent_four_752,2,1.0011051930487156,,False,110656,16,4
D,zarrs,aligned_720,0,0.19161368487402797,0.35363437899999894,False,,,
D,zarrs,aligned_720,1,0.18955484009347856,0.3609909909999942,False,,,
